source_season,depth_source_format,season,week,game_type,dt,depth_timestamp,team,player_name,espn_id,gsis_id,roster_position,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank,data_split
2018,legacy_weekly,2018,1,REG,,,ARI,Phil Dawson,,00-0004091,K,,Special Teams,,K,K,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,H,H,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,P,P,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Larry Fitzgerald,,00-0022921,WR,,Offense,,WR,WR,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Antoine Bethea,,00-0024421,FS,,Defense,,FS,FS,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Andre Smith,,00-0026982,T,,Offense,,RT,RT,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Corey Peters,,00-0027686,DT,,Defense,,DT,DT,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Sam Bradford,,00-0027854,QB,,Offense,,QB,QB,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Mike Iupati,,00-0027869,G,,Offense,,LG,LG,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Jermaine Gresham,,00-0027873,TE,,Offense,,TE,TE,,3,training
2018,legacy_weekly,2018,1,REG,,,ARI,Patrick Peterson,,00-0027943,CB,,Defense,,CB,CB,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Josh Bynes,,00-0028278,ILB,,Defense,,MLB,MLB,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Aaron Brewer,,00-0028946,LS,,Special Teams,,LS,LS,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Derrick Coleman,,00-0029068,FB,,Offense,,FB,FB,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Jacquies Smith,,00-0029112,DE,,Defense,,DE,DE,,2,training
