season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,game_location,roof,surface,is_home,team_rest,opponent_rest,source_spread_line,total_line,div_game,prior_games_count,prior_games_current_season,days_since_previous_game,is_first_observed_game,is_first_observed_game_of_season,has_previous_game,has_3_prior_games,has_5_prior_games,team_changed_since_previous_game,fantasy_points_ppr_prev_game,fantasy_points_ppr_avg_last_3_games,fantasy_points_ppr_avg_last_5_games,fantasy_points_ppr_stddev_last_5_games,fantasy_points_ppr_min_last_5_games,fantasy_points_ppr_max_last_5_games,fantasy_points_ppr_season_to_date,fantasy_points_ppr_stddev_season_to_date,attempts_prev_game,attempts_avg_last_3_games,attempts_avg_last_5_games,attempts_season_to_date,carries_prev_game,carries_avg_last_3_games,carries_avg_last_5_games,carries_season_to_date,targets_prev_game,targets_avg_last_3_games,targets_avg_last_5_games,targets_season_to_date,receptions_prev_game,receptions_avg_last_3_games,receptions_avg_last_5_games,touches_prev_game,touches_avg_last_3_games,touches_avg_last_5_games,opportunities_prev_game,opportunities_avg_last_3_games,opportunities_avg_last_5_games,opportunities_season_to_date,passing_yards_prev_game,passing_yards_avg_last_3_games,rushing_yards_prev_game,rushing_yards_avg_last_3_games,receiving_yards_prev_game,receiving_yards_avg_last_3_games,yards_from_scrimmage_prev_game,yards_from_scrimmage_avg_last_3_games,total_offensive_tds_prev_game,total_offensive_tds_avg_last_3_games,target_share_prev_game,target_share_avg_last_3_games,target_share_avg_last_5_games,target_share_season_to_date,air_yards_share_prev_game,air_yards_share_avg_last_3_games,air_yards_share_avg_last_5_games,wopr_prev_game,wopr_avg_last_3_games,wopr_avg_last_5_games,has_previous_snap_record,snap_records_last_3_games,snap_records_last_5_games,offense_snaps_prev_game,offense_snaps_avg_last_3_games,offense_snaps_avg_last_5_games,offense_pct_prev_game,offense_pct_avg_last_3_games,offense_pct_avg_last_5_games,completion_pct_avg_last_3_games,passing_yards_per_attempt_avg_last_3_games,rushing_yards_per_carry_avg_last_3_games,receiving_yards_per_target_avg_last_3_games,receiving_yards_per_reception_avg_last_3_games,fantasy_points_per_opportunity_avg_last_3_games,total_yards_per_opportunity_avg_last_3_games,opponent_prior_position_games,opponent_prior_position_games_current_season,has_opponent_history,opp_ppr_allowed_prev_game,opp_ppr_allowed_avg_last_3_games,opp_ppr_allowed_avg_last_5_games,opp_ppr_allowed_season_to_date,opp_opportunities_allowed_prev_game,opp_opportunities_allowed_avg_last_3_games,opp_opportunities_allowed_season_to_date,opp_passing_yards_allowed_season_to_date,opp_rushing_yards_allowed_season_to_date,opp_receiving_yards_allowed_season_to_date,opp_offensive_tds_allowed_season_to_date
2026,1,2026_01_ATL_PIT,2026-09-13,00-0023459,Aaron Rodgers,QB,PIT,ATL,HOME,outdoors,grass,1,7,7,3.0,42.5,0,115,0,252.0,0,1,1,1,1,0,17.759999999999998,13.54,15.807999999999998,5.224951674417668,7.32,21.46,,,47.0,42.3333,37.6,,1.0,1.3333,1.2,,0.0,0.0,0.2,,0.0,0.0,0.2,1.0,1.3333,1.4,48.0,43.6667,38.8,,294.0,242.6667,20.0,11.6667,0.0,0.0,20.0,11.6667,1.0,0.6667,0.0,0.0,0.006060606060606061,,0.0,0.0,-0.008490566037735849,0.0,0.0,0.0031475128644939975,1,3,5,75.0,71.66666666666667,66.6,1.0,1.0,1.0,0.6220472440944882,5.732283464566929,8.75,,,0.3100763358778626,5.824427480916031,131,0,1,21.759999999999998,15.046666666666667,17.315999999999995,,38,36.0,,,,,
2026,1,2026_01_TB_CIN,2026-09-13,00-0026158,Joe Flacco,QB,CIN,TB,HOME,outdoors,fieldturf,1,7,7,3.5,51.5,0,54,0,252.0,0,1,1,1,1,0,0.2,0.5066666666666666,4.200000000000001,5.07383484161635,0.16,9.860000000000001,,,0.0,2.0,16.6,,1.0,1.6667,1.4,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.6667,1.4,1.0,3.6667,18.0,,0.0,9.3333,2.0,1.3333,0.0,0.0,2.0,1.3333,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,1.0,6.666666666666667,30.0,0.01,0.09333333333333334,0.45199999999999996,0.6666666666666666,4.666666666666667,0.8,,,0.13818181818181816,2.909090909090909,132,0,1,16.54,16.653333333333332,19.627999999999997,,37,33.0,,,,,
2026,1,2026_01_TB_CIN,2026-09-13,00-0026300,Josh Johnson,QB,CIN,TB,HOME,outdoors,fieldturf,1,7,7,3.5,51.5,0,16,0,252.0,0,1,1,1,1,1,15.740000000000002,8.126666666666667,4.984,7.134611411983137,-0.28,15.740000000000002,,,22.0,18.0,11.2,,9.0,4.0,2.6,,0.0,0.0,0.0,,0.0,0.0,0.0,9.0,4.0,2.6,31.0,22.0,13.8,,131.0,124.0,45.0,18.3333,0.0,0.0,45.0,18.3333,2.0,0.6667,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,69.0,44.666666666666664,31.0,1.0,0.7966666666666665,0.546,0.6296296296296297,6.888888888888889,4.583333333333333,,,0.36939393939393944,6.46969696969697,132,0,1,16.54,16.653333333333332,19.627999999999997,,37,33.0,,,,,
2026,1,2026_01_SF_LA,2026-09-10,00-0026498,Matthew Stafford,QB,LA,SF,HOME,dome,matrixturf,1,7,7,3.5,48.5,1,114,0,249.0,0,1,1,1,1,0,26.66,23.433333333333334,22.891999999999996,6.794727367599087,12.759999999999998,30.880000000000003,,,40.0,42.3333,39.2,,1.0,1.0,0.8,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.8,41.0,43.3333,40.0,,259.0,328.3333,3.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,72.0,76.33333333333333,71.8,0.96,0.9866666666666667,0.958,0.5984251968503937,7.755905511811024,3.0,,,0.5407692307692308,7.6461538461538465,133,0,1,8.82,16.3,14.892000000000001,,32,38.333333333333336,,,,,
2026,1,2026_01_WAS_PHI,2026-09-13,00-0027973,Andy Dalton,QB,PHI,WAS,HOME,outdoors,grass,1,7,7,4.5,47.5,1,69,0,322.0,0,1,1,1,1,1,1.0999999999999996,3.2066666666666666,1.908,2.6363080244918273,-0.1,6.32,,,24.0,12.3333,10.6,,2.0,1.3333,1.4,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.3333,1.4,26.0,13.6667,12.0,,175.0,97.6667,1.0,-0.3333,0.0,0.0,1.0,-0.3333,0.0,0.3333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,61.0,32.0,27.4,1.0,0.5,0.49000000000000005,0.6756756756756757,7.918918918918919,-0.25,,,0.2346341463414634,7.121951219512195,133,0,1,11.940000000000001,17.939999999999998,19.276,,42,40.666666666666664,,,,,
2026,1,2026_01_GB_MIN,2026-09-13,00-0028118,Tyrod Taylor,QB,GB,MIN,AWAY,dome,sportturf,0,7,7,1.5,45.5,1,36,0,280.0,0,1,1,1,1,1,-1.76,10.766666666666667,10.224,9.739295662418305,-1.76,21.28,,,4.0,21.6667,24.6,,0.0,4.3333,4.8,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.3333,4.8,4.0,26.0,29.4,,6.0,133.3333,0.0,21.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,6.0,43.666666666666664,46.6,0.1,0.7000000000000001,0.728,0.5692307692307692,6.153846153846154,4.846153846153846,,,0.41410256410256413,5.935897435897436,133,0,1,3.66,1.9199999999999993,3.6679999999999993,,15,20.666666666666668,,,,,
2026,1,2026_01_CHI_CAR,2026-09-13,00-0028986,Case Keenum,QB,CHI,CAR,AWAY,outdoors,grass,0,7,7,-2.5,47.5,0,36,0,994.0,0,1,1,1,1,1,-1.52,3.2866666666666666,4.52,6.786972815622588,-1.52,12.54,,,17.0,19.3333,16.8,,0.0,1.3333,2.4,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.3333,2.4,17.0,20.6667,19.2,,62.0,99.6667,0.0,-0.3333,0.0,0.0,0.0,-0.3333,0.0,0.3333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,37.0,40.333333333333336,40.6,0.49,0.5399999999999999,0.5720000000000001,0.6206896551724138,5.155172413793103,-0.25,,,0.15903225806451612,4.806451612903226,132,0,1,13.22,10.666666666666666,12.34,,26,28.666666666666668,,,,,
2026,1,2026_01_MIA_LV,2026-09-13,00-0029604,Kirk Cousins,QB,LV,MIA,HOME,dome,grass,1,7,7,3.5,40.5,0,112,0,252.0,0,1,1,1,1,1,9.2,11.973333333333334,13.064000000000002,9.417169426106764,2.4800000000000004,26.92,,,32.0,29.0,32.2,,3.0,3.0,1.8,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,1.8,35.0,32.0,34.0,,180.0,167.6667,0.0,-0.6667,0.0,0.0,0.0,-0.6667,1.0,1.6667,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,63.0,64.33333333333333,65.6,1.0,1.0,1.0,0.5977011494252874,5.781609195402299,-0.2222222222222222,,,0.3741666666666667,5.21875,133,0,1,16.660000000000004,21.073333333333334,16.188,,30,37.333333333333336,,,,,
2026,1,2026_01_NYJ_TEN,2026-09-13,00-0030565,Geno Smith,QB,NYJ,TEN,AWAY,outdoors,grass,0,7,7,3.0,38.5,0,73,0,259.0,0,1,1,1,1,1,7.139999999999999,10.073333333333332,11.284,3.1152656387537805,7.139999999999999,14.2,,,28.0,24.0,27.8,,1.0,0.6667,1.4,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.6667,1.4,29.0,24.6667,29.2,,176.0,164.3333,1.0,1.6667,0.0,0.0,1.0,1.6667,1.0,1.3333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,53.0,48.0,54.2,0.9,0.88,0.9280000000000002,0.6805555555555556,6.847222222222222,2.5,,,0.40837837837837837,6.72972972972973,133,0,1,23.740000000000006,17.400000000000002,22.372000000000003,,37,31.666666666666668,,,,,
2026,1,2026_01_DAL_NYG,2026-09-13,00-0031503,Jameis Winston,QB,NYG,DAL,HOME,outdoors,fieldturf,1,7,7,-2.5,48.5,1,60,0,273.0,0,1,1,1,1,0,0.0,14.426666666666668,11.64,13.39271443733495,-0.36000000000000015,32.24,,,1.0,22.0,26.4,,0.0,2.3333,2.6,,0.0,0.3333,0.2,,0.0,0.3333,0.2,0.0,2.6667,2.8,1.0,24.3333,29.0,,0.0,189.0,0.0,7.6667,0.0,11.0,0.0,18.6667,0.0,1.3333,0.0,0.00980392156862745,0.0058823529411764705,,0.0,0.010594947025264874,0.006356968215158925,0.0,0.02212234527062659,0.013273407162375952,1,3,5,2.0,52.0,55.2,0.03,0.6766666666666666,0.76,0.5606060606060606,8.590909090909092,3.2857142857142856,33.0,33.0,0.5928767123287672,8.534246575342467,132,0,1,20.400000000000002,19.84,19.836000000000002,,37,33.0,,,,,
