season,data_split,dataset_name,source_rows,processed_rows,unavailable_key_rows,duplicate_key_groups,missing_optional_columns,stats_schedule_match_pct,stats_roster_match_pct,stats_snap_match_pct,ppr_mismatch_rows,maximum_ppr_difference,output_file
2018,training,depth_charts,36560,34376,453,0,"depth_timestamp,dt,espn_id,pos_grp_id,pos_id,pos_slot",,,,,,data/processed/historical/depth_charts/depth_charts_2018.parquet
2018,training,injuries,5133,4961,0,0,season_type,,,,,,data/processed/historical/injuries/injuries_2018.parquet
2018,training,schedules,267,256,0,0,"",,,,,,data/processed/historical/schedules/schedules_2018.parquet
2018,training,snap_counts,23877,22895,0,0,"",,,,,,data/processed/historical/snap_counts/snap_counts_2018.parquet
2018,training,weekly_player_stats,17414,5363,0,0,"",100.0,100.0,100.0,0,0.0,data/processed/historical/weekly_player_stats/weekly_player_stats_2018.parquet
2018,training,weekly_rosters,52238,50113,35,0,"",,,,,,data/processed/historical/weekly_rosters/weekly_rosters_2018.parquet
2019,training,depth_charts,36308,34042,657,0,"depth_timestamp,dt,espn_id,pos_grp_id,pos_id,pos_slot",,,,,,data/processed/historical/depth_charts/depth_charts_2019.parquet
2019,training,injuries,5392,5202,0,0,season_type,,,,,,data/processed/historical/injuries/injuries_2019.parquet
2019,training,schedules,267,256,0,0,"",,,,,,data/processed/historical/schedules/schedules_2019.parquet
2019,training,snap_counts,23862,22884,0,0,"",,,,,,data/processed/historical/snap_counts/snap_counts_2019.parquet
2019,training,weekly_player_stats,17362,5411,0,0,"",100.0,100.0,99.89,0,0.0,data/processed/historical/weekly_player_stats/weekly_player_stats_2019.parquet
2019,training,weekly_rosters,51632,49561,2,0,"",,,,,,data/processed/historical/weekly_rosters/weekly_rosters_2019.parquet
2020,training,depth_charts,36168,33620,612,0,"depth_timestamp,dt,espn_id,pos_grp_id,pos_id,pos_slot",,,,,,data/processed/historical/depth_charts/depth_charts_2020.parquet
2020,training,injuries,5661,5414,0,0,season_type,,,,,,data/processed/historical/injuries/injuries_2020.parquet
2020,training,schedules,269,256,0,0,"",,,,,,data/processed/historical/schedules/schedules_2020.parquet
2020,training,snap_counts,24999,23790,0,0,"",,,,,,data/processed/historical/snap_counts/snap_counts_2020.parquet
