season,week,season_type,game_type,team,gsis_id,position,full_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,data_split
2018.0,1.0,,REG,ARI,00-0027686,DT,Corey Peters,,,,Knee,,Full Participation in Practice,2018-09-07T13:19:02.000000+0000,training
2018.0,1.0,,REG,ARI,00-0027873,TE,Jermaine Gresham,Achilles,,Questionable,Achilles,,Limited Participation in Practice,2018-09-07T13:19:11.000000+0000,training
2018.0,1.0,,REG,ARI,00-0031914,DT,Olsen Pierre,Toe,,Questionable,Toe,,Limited Participation in Practice,2018-09-07T13:19:11.000000+0000,training
2018.0,1.0,,REG,ARI,00-0032127,DE,Markus Golden,Knee,,Out,Knee,,Did Not Participate In Practice,2018-09-07T13:20:00.000000+0000,training
2018.0,1.0,,REG,ARI,00-0032761,DT,Robert Nkemdiche,Foot,,Questionable,Foot,,Limited Participation in Practice,2018-09-07T13:19:11.000000+0000,training
2018.0,1.0,,REG,ARI,00-0033789,RB,T.J. Logan,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2018-09-07T13:19:11.000000+0000,training
2018.0,1.0,,REG,ARI,00-0034687,T,Korey Cunningham,,,,Thumb,,Full Participation in Practice,2018-09-07T13:18:55.000000+0000,training
2018.0,1.0,,REG,ATL,00-0027282,G,Ben Garland,Calf,,Out,Calf,,Did Not Participate In Practice,2018-09-05T08:45:06.000000+0000,training
2018.0,1.0,,REG,ATL,00-0028845,LS,Josh Harris,Hip,,Questionable,Hip,,Limited Participation in Practice,2018-09-05T08:45:12.000000+0000,training
2018.0,1.0,,REG,ATL,00-0030541,CB,Blidi Wreh-Wilson,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2018-09-05T08:45:26.000000+0000,training
2018.0,1.0,,REG,ATL,00-0031181,S,Ricardo Allen,,,,Thigh,,Full Participation in Practice,2018-09-05T08:44:55.000000+0000,training
2018.0,1.0,,REG,ATL,00-0032388,LB,Deion Jones,,,,Hamstring,,Full Participation in Practice,2018-09-05T08:44:55.000000+0000,training
2018.0,1.0,,REG,ATL,00-0033094,WR,Marvin Hall,,,,Ankle,,Full Participation in Practice,2018-09-05T08:44:55.000000+0000,training
2018.0,1.0,,REG,ATL,00-0034357,CB,Isaiah Oliver,Ankle,,Out,Ankle,,Limited Participation in Practice,2018-09-05T08:45:19.000000+0000,training
2018.0,1.0,,REG,ATL,00-0034413,LB,Foyesade Oluokun,,,,Ankle,,Full Participation in Practice,2018-09-05T08:44:55.000000+0000,training
2018.0,1.0,,REG,BAL,00-0032409,DT,Willie Henry,Abdomen,,Out,Abdomen,,Did Not Participate In Practice,2018-09-07T10:32:58.000000+0000,training
2018.0,1.0,,REG,BAL,00-0032438,CB,Maurice Canady,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2018-09-07T10:32:46.000000+0000,training
2018.0,1.0,,REG,BAL,00-0034266,LB,Kenny Young,Knee,,Questionable,Knee,,Full Participation in Practice,2018-09-07T10:32:46.000000+0000,training
2018.0,1.0,,REG,BAL,00-0034830,TE,Hayden Hurst,Foot,,Out,Foot,,Did Not Participate In Practice,2018-09-07T10:33:03.000000+0000,training
2018.0,1.0,,REG,BUF,00-0023259,LB,Lorenzo Alexander,,,,Not Injury Related,,Did Not Participate In Practice,2018-09-06T11:24:17.000000+0000,training
2018.0,1.0,,REG,BUF,00-0029061,LB,Julian Stanford,Nose,,Questionable,Nose,,Limited Participation in Practice,2018-09-07T10:02:27.000000+0000,training
2018.0,1.0,,REG,BUF,00-0034407,WR,Ray-Ray McCloud,Knee,,Out,Knee,,Did Not Participate In Practice,2018-09-07T10:02:34.000000+0000,training
2018.0,1.0,,REG,CAR,00-0025418,TE,Greg Olsen,Back,,Questionable,,,,2018-09-08T10:09:58.000000+0000,training
2018.0,1.0,,REG,CAR,00-0029254,G,Amini Silatolu,Knee,,Questionable,Knee,,Limited Participation in Practice,2018-09-07T09:42:55.000000+0000,training
2018.0,1.0,,REG,CAR,00-0031484,TE,Chris Manhertz,Foot,,Questionable,Foot,,Limited Participation in Practice,2018-09-07T09:42:55.000000+0000,training
2018.0,1.0,,REG,CAR,00-0031567,T,Daryl Williams,Knee,,Questionable,Knee,,Limited Participation in Practice,2018-09-07T09:42:55.000000+0000,training
2018.0,1.0,,REG,CAR,00-0033282,WR,Curtis Samuel,Medical Illness,,Out,Medical Illness,,Did Not Participate In Practice,2018-09-07T09:43:02.000000+0000,training
2018.0,1.0,,REG,CAR,00-0034582,G,Brendan Mahon,,,,Neck,,Full Participation in Practice,2018-09-07T09:42:43.000000+0000,training
2018.0,1.0,,REG,CHI,00-0030441,G,Kyle Long,,,,Not Injury Related,,Did Not Participate In Practice,2018-09-07T11:56:58.000000+0000,training
2018.0,1.0,,REG,CHI,00-0032098,TE,Daniel Brown,Shoulder,,Doubtful,Shoulder,,Limited Participation in Practice,2018-09-07T11:57:17.000000+0000,training
2018.0,1.0,,REG,CHI,00-0032790,S,DeAndre Houston-Carson,Forearm,Back,Out,Forearm,Back,Did Not Participate In Practice,2018-09-07T11:57:24.000000+0000,training
2018.0,1.0,,REG,CIN,00-0027245,LB,Vincent Rey,,,,Ankle,,Full Participation in Practice,2018-09-07T10:07:40.000000+0000,training
2018.0,1.0,,REG,CIN,00-0029561,T,Cordy Glenn,,,,Shoulder,,Full Participation in Practice,2018-09-07T10:13:18.000000+0000,training
2018.0,1.0,,REG,CIN,00-0030549,TE,Tyler Eifert,,,,Back,,Full Participation in Practice,2018-09-07T10:07:40.000000+0000,training
2018.0,1.0,,REG,CIN,00-0032795,WR,Cody Core,Back,,Doubtful,Back,,Limited Participation in Practice,2018-09-07T10:13:51.000000+0000,training
2018.0,1.0,,REG,CIN,00-0032807,S,Clayton Fejedelem,,,,Calf,,Full Participation in Practice,2018-09-07T10:07:40.000000+0000,training
2018.0,1.0,,REG,CIN,00-0032934,CB,Tony McRae,,,,Ankle,,Full Participation in Practice,2018-09-07T10:13:26.000000+0000,training
2018.0,1.0,,REG,CIN,00-0033798,TE,Mason Schreck,,,,Toe,,Full Participation in Practice,2018-09-07T10:07:40.000000+0000,training
