season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,projected_fantasy_points_ppr,projection_source_model,model_bundle_version,inference_version
2025,1,2025_01_PIT_NYJ,2025-09-07,00-0023459,Aaron Rodgers,QB,PIT,NYJ,11.382614393861694,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_CIN_CLE,2025-09-07,00-0026158,Joe Flacco,QB,CLE,CIN,15.853010991793749,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_HOU_LA,2025-09-07,00-0026498,Matthew Stafford,QB,LA,HOU,13.583038176609238,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_NYG_WAS,2025-09-07,00-0029263,Russell Wilson,QB,NYG,WAS,13.783631240230973,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_LV_NE,2025-09-07,00-0030565,Geno Smith,QB,LV,NE,11.521396485009573,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_DAL_PHI,2025-09-04,00-0033077,Dak Prescott,QB,DAL,PHI,11.253818498263715,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_DET_GB,2025-09-07,00-0033106,Jared Goff,QB,DET,GB,17.745276309939584,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_KC_LAC,2025-09-05,00-0033873,Patrick Mahomes,QB,KC,LAC,18.777010423774307,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_BAL_BUF,2025-09-07,00-0034796,Lamar Jackson,QB,BAL,BUF,20.864708263571163,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_TB_ATL,2025-09-07,00-0034855,Baker Mayfield,QB,TB,ATL,24.63106991549588,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_BAL_BUF,2025-09-07,00-0034857,Josh Allen,QB,BUF,BAL,21.069081098331512,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
2025,1,2025_01_SF_SEA,2025-09-07,00-0034869,Sam Darnold,QB,SEA,SF,17.22514305027267,hist_gradient_boosting,v1_evaluated_2025,v1_bundle_inference
