season,week,game_id,game_date,player_id,player_name,player_display_name,position,team,opponent,game_location,is_home,team_rest,opponent_rest,source_spread_line,total_line,div_game,roof,surface,target_fantasy_points_ppr,data_split,feature_version,prior_games_count,prior_games_current_season,previous_game_season,previous_game_week,previous_game_date,previous_team,days_since_previous_game,is_first_observed_game,is_first_observed_game_of_season,has_previous_game,has_3_prior_games,has_5_prior_games,team_changed_since_previous_game,fantasy_points_ppr_prev_game,fantasy_points_ppr_avg_last_3_games,fantasy_points_ppr_avg_last_5_games,fantasy_points_ppr_stddev_last_5_games,fantasy_points_ppr_min_last_5_games,fantasy_points_ppr_max_last_5_games,fantasy_points_ppr_season_to_date,fantasy_points_ppr_stddev_season_to_date,attempts_prev_game,attempts_avg_last_3_games,attempts_avg_last_5_games,attempts_season_to_date,carries_prev_game,carries_avg_last_3_games,carries_avg_last_5_games,carries_season_to_date,targets_prev_game,targets_avg_last_3_games,targets_avg_last_5_games,targets_season_to_date,receptions_prev_game,receptions_avg_last_3_games,receptions_avg_last_5_games,touches_prev_game,touches_avg_last_3_games,touches_avg_last_5_games,opportunities_prev_game,opportunities_avg_last_3_games,opportunities_avg_last_5_games,opportunities_season_to_date,passing_yards_prev_game,passing_yards_avg_last_3_games,rushing_yards_prev_game,rushing_yards_avg_last_3_games,receiving_yards_prev_game,receiving_yards_avg_last_3_games,yards_from_scrimmage_prev_game,yards_from_scrimmage_avg_last_3_games,total_offensive_tds_prev_game,total_offensive_tds_avg_last_3_games,target_share_prev_game,target_share_avg_last_3_games,target_share_avg_last_5_games,target_share_season_to_date,air_yards_share_prev_game,air_yards_share_avg_last_3_games,air_yards_share_avg_last_5_games,wopr_prev_game,wopr_avg_last_3_games,wopr_avg_last_5_games,has_previous_snap_record,snap_records_last_3_games,snap_records_last_5_games,offense_snaps_prev_game,offense_snaps_avg_last_3_games,offense_snaps_avg_last_5_games,offense_pct_prev_game,offense_pct_avg_last_3_games,offense_pct_avg_last_5_games,completion_pct_avg_last_3_games,passing_yards_per_attempt_avg_last_3_games,rushing_yards_per_carry_avg_last_3_games,receiving_yards_per_target_avg_last_3_games,receiving_yards_per_reception_avg_last_3_games,fantasy_points_per_opportunity_avg_last_3_games,total_yards_per_opportunity_avg_last_3_games,opponent_prior_position_games,opponent_prior_position_games_current_season,has_opponent_history,opp_ppr_allowed_prev_game,opp_ppr_allowed_avg_last_3_games,opp_ppr_allowed_avg_last_5_games,opp_ppr_allowed_season_to_date,opp_opportunities_allowed_prev_game,opp_opportunities_allowed_avg_last_3_games,opp_opportunities_allowed_season_to_date,opp_passing_yards_allowed_season_to_date,opp_rushing_yards_allowed_season_to_date,opp_receiving_yards_allowed_season_to_date,opp_offensive_tds_allowed_season_to_date,created_at
2025,1,2025_01_KC_LAC,2025-09-05,00-0033873,P.Mahomes,Patrick Mahomes,QB,KC,LAC,AWAY,0,7,7,-3.0,47.5,1,dome,,26.02,test,v1_prior_game,111,0,2024.0,17.0,2024-12-25,KC,254.0,0,1,1,1,1,0,26.0,21.820000000000004,19.240000000000002,5.264959638971603,14.100000000000001,26.0,,,38.0,39.0,40.0,,1.0,2.6667,2.8,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.6667,2.8,39.0,41.6667,42.8,,320.0,246.3333,12.0,19.6667,0.0,0.0,12.0,19.6667,3.0,2.3333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,62.0,67.66666666666667,68.6,1.0,0.9633333333333334,0.9780000000000001,0.6495726495726496,6.316239316239316,7.375,,,0.52368,6.384,116,0,1,16.300000000000004,15.706666666666669,17.848000000000003,,40.0,37.666666666666664,,,,,,2026-08-21 11:12:46
2025,1,2025_01_BAL_BUF,2025-09-07,00-0034796,L.Jackson,Lamar Jackson,QB,BAL,BUF,AWAY,0,7,7,-1.5,50.5,0,outdoors,a_turf,29.36,test,v1_prior_game,103,0,2024.0,18.0,2025-01-04,BAL,246.0,0,1,1,1,1,0,22.98,24.293333333333337,26.872000000000003,6.121267842530663,20.48,36.1,,,32.0,23.3333,26.2,,9.0,7.3333,7.2,,0.0,0.0,0.0,,0.0,0.0,0.0,9.0,7.3333,7.2,41.0,30.6667,33.4,,217.0,197.3333,63.0,57.3333,0.0,0.0,63.0,57.3333,2.0,2.6667,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,67.0,60.333333333333336,60.4,0.96,0.93,0.924,0.5857142857142857,8.457142857142857,7.818181818181818,,,0.7921739130434784,8.304347826086957,115,0,1,19.240000000000002,17.026666666666667,22.588,,40.0,38.666666666666664,,,,,,2026-08-21 11:12:46
2025,1,2025_01_CIN_CLE,2025-09-07,00-0036442,J.Burrow,Joe Burrow,QB,CIN,CLE,AWAY,0,7,7,-5.5,47.5,1,outdoors,grass,8.82,test,v1_prior_game,69,0,2024.0,18.0,2025-01-04,CIN,246.0,0,1,1,1,1,0,12.98,23.98,22.668,9.174819889240334,12.98,36.980000000000004,,,46.0,41.6667,41.2,,1.0,2.3333,1.8,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.3333,1.8,47.0,44.0,43.0,,277.0,313.6667,-1.0,14.3333,0.0,0.0,-1.0,14.3333,1.0,2.6667,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,74.0,73.0,71.8,1.0,0.9933333333333333,0.9960000000000001,0.792,7.528,6.142857142857143,,,0.5449999999999999,7.454545454545454,116,0,1,22.98,23.02,20.328,,41.0,35.666666666666664,,,,,,2026-08-21 11:12:46
2025,3,2025_03_MIA_BUF,2025-09-18,00-0034857,J.Allen,Josh Allen,QB,BUF,MIA,HOME,1,4,4,12.5,50.5,1,outdoors,a_turf,23.02,test,v1_prior_game,112,2,2025.0,2.0,2025-09-14,BUF,4.0,0,0,1,1,1,0,11.82,24.52,25.2,14.348470301742971,11.16,41.28,25.29,19.049456685165588,25.0,32.6667,32.2,35.5,6.0,8.3333,8.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.3333,8.4,31.0,41.0,40.6,45.5,148.0,241.3333,59.0,35.3333,0.0,0.0,59.0,35.3333,0.0,2.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,65.0,70.0,67.8,0.87,0.91,0.946,0.6428571428571429,7.387755102040816,4.24,,,0.5980487804878049,6.747967479674797,118,2,1,26.300000000000004,26.913333333333338,21.131999999999998,27.89,33.0,35.0,34.5,251.0,28.5,0.0,3.0,2026-08-21 11:12:46
2025,3,2025_03_HOU_JAX,2025-09-21,00-0039163,C.Stroud,C.J. Stroud,QB,HOU,JAX,AWAY,0,6,7,1.5,43.5,1,outdoors,grass,10.36,test,v1_prior_game,34,2,2025.0,2.0,2025-09-15,HOU,6.0,0,0,1,1,1,0,14.98,9.9,10.372,4.839433851185487,6.0,16.06,11.850000000000001,4.426488450227787,24.0,19.0,25.4,25.5,4.0,3.0,2.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.4,28.0,22.0,27.8,30.0,207.0,148.3333,27.0,19.6667,0.0,0.0,27.0,19.6667,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,49.0,41.0,46.2,1.0,0.7266666666666666,0.812,0.6666666666666666,7.807017543859649,6.555555555555555,,,0.45000000000000007,7.636363636363637,118,2,1,24.78,15.833333333333334,14.2,16.47,46.0,42.0,43.0,235.5,20.5,0.0,2.5,2026-08-21 11:12:46
2025,3,2025_03_DAL_CHI,2025-09-21,00-0039918,C.Williams,Caleb Williams,QB,CHI,DAL,HOME,1,7,7,-1.5,49.5,0,outdoors,grass,29.12,test,v1_prior_game,19,2,2025.0,2.0,2025-09-14,CHI,7.0,0,0,1,1,1,0,16.98,17.36666666666667,16.288000000000004,7.550266220471966,6.58,24.200000000000003,20.590000000000003,5.105310960166876,30.0,31.3333,32.4,32.5,5.0,4.6667,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6667,5.0,35.0,36.0,37.4,38.0,207.0,188.3333,27.0,31.6667,0.0,0.0,27.0,31.6667,2.0,1.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,57.0,62.0,62.2,0.84,0.9466666666666667,0.968,0.648936170212766,6.01063829787234,6.785714285714286,,,0.4824074074074075,6.111111111111111,117,2,1,30.0,28.180000000000003,26.568,27.14,45.0,40.333333333333336,41.0,301.0,41.0,0.0,2.5,2026-08-21 11:12:46
2025,3,2025_03_IND_TEN,2025-09-21,00-0040676,C.Ward,Cam Ward,QB,TEN,IND,HOME,1,7,7,-6.0,43.5,1,outdoors,grass,11.96,test,v1_prior_game,2,2,2025.0,2.0,2025-09-14,TEN,7.0,0,0,1,0,0,0,9.8,6.140000000000001,6.140000000000001,5.176021638285528,2.4800000000000004,9.8,6.140000000000001,5.176021638285528,33.0,30.5,30.5,30.5,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,37.0,32.5,32.5,32.5,175.0,143.5,8.0,4.0,0.0,0.0,8.0,4.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,66.0,61.5,61.5,1.0,1.0,1.0,0.5081967213114754,4.704918032786885,2.0,,,0.18892307692307694,4.538461538461538,118,2,1,20.240000000000002,13.26,17.704,13.540000000000001,33.0,34.333333333333336,33.0,176.0,15.0,0.0,2.0,2026-08-21 11:12:46
2025,4,2025_04_BAL_KC,2025-09-28,00-0033662,C.Rush,Cooper Rush,QB,BAL,KC,AWAY,0,6,7,-2.5,48.5,0,outdoors,grass,2.08,test,v1_prior_game,32,1,2025.0,2.0,2025-09-14,BAL,14.0,0,0,1,1,1,0,-0.4,6.986666666666667,10.768,7.828340820378225,-0.4,19.060000000000002,-0.4,,0.0,21.0,24.6,0.0,3.0,2.3333,2.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3333,2.6,3.0,23.3333,27.2,3.0,0.0,146.3333,-4.0,-2.0,0.0,0.0,-4.0,-2.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,3.0,40.666666666666664,51.0,0.05,0.6666666666666666,0.8,0.6507936507936508,6.968253968253968,-0.8571428571428571,,,0.29942857142857143,6.185714285714286,119,3,1,5.4,14.953333333333331,19.360000000000003,14.953333333333331,38.0,36.666666666666664,36.666666666666664,193.0,25.666666666666668,0.0,1.3333333333333333,2026-08-21 11:12:46
2025,4,2025_04_JAX_SF,2025-09-28,00-0036971,T.Lawrence,Trevor Lawrence,QB,JAX,SF,AWAY,0,7,7,3.5,45.5,0,outdoors,grass,11.66,test,v1_prior_game,63,3,2025.0,3.0,2025-09-21,JAX,7.0,0,0,1,1,1,0,7.780000000000001,12.446666666666667,11.428,8.167981390772141,0.2400000000000002,19.56,12.446666666666667,6.018715256043712,40.0,37.6667,30.8,37.6667,2.0,2.6667,2.8,2.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6667,2.8,42.0,40.3333,33.6,40.3333,222.0,223.6667,9.0,8.3333,0.0,0.0,9.0,8.3333,0.0,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,70.0,69.0,56.0,1.0,1.0,0.8539999999999999,0.5575221238938053,5.938053097345133,3.125,,,0.3085950413223141,5.75206611570248,119,3,1,14.059999999999999,13.746666666666664,19.028,13.746666666666664,41.0,35.0,35.0,172.0,22.0,0.0,1.3333333333333333,2026-08-21 11:12:46
2025,5,2025_05_LV_IND,2025-10-05,00-0030565,G.Smith,Geno Smith,QB,LV,IND,AWAY,0,7,7,7.0,46.5,0,closed,fieldturf,5.920000000000001,test,v1_prior_game,62,4,2025.0,4.0,2025-09-28,LV,7.0,0,0,1,1,1,0,9.78,13.013333333333334,16.568,10.13424491513798,3.2,26.32,14.13,9.86466421121368,21.0,31.0,30.8,31.75,4.0,3.6667,3.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6667,3.0,25.0,34.6667,33.8,35.0,117.0,195.3333,31.0,18.6667,0.0,0.0,31.0,18.6667,2.0,1.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,52.0,62.666666666666664,61.2,1.0,1.0,1.0,0.6129032258064516,6.301075268817204,5.090909090909091,,,0.37538461538461537,6.173076923076923,120,4,1,27.4,19.866666666666667,15.828,16.61,45.0,39.666666666666664,38.0,236.5,11.5,0.0,2.0,2026-08-21 11:12:46
