game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,away_rest,home_rest,spread_line,total_line,div_game,roof,surface,temp,wind,stadium_id,stadium,data_split
2018_01_ATL_PHI,2018,REG,1,2018-09-06,Thursday,20:20,ATL,12,PHI,18,Home,6,30,0,7,7,1.0,44.5,0,outdoors,grass,81,8,PHI00,Lincoln Financial Field,training
2018_01_BUF_BAL,2018,REG,1,2018-09-09,Sunday,13:00,BUF,3,BAL,47,Home,44,50,0,7,7,7.5,39.0,0,outdoors,grass,61,12,BAL00,M&T Bank Stadium,training
2018_01_CHI_GB,2018,REG,1,2018-09-09,Sunday,20:20,CHI,23,GB,24,Home,1,47,0,7,7,6.5,45.0,1,outdoors,grass,62,10,GNB00,Lambeau Field,training
2018_01_CIN_IND,2018,REG,1,2018-09-09,Sunday,13:00,CIN,34,IND,23,Home,-11,57,0,7,7,-1.0,47.5,0,closed,fieldturf,,,IND00,Lucas Oil Stadium,training
2018_01_DAL_CAR,2018,REG,1,2018-09-09,Sunday,16:25,DAL,8,CAR,16,Home,8,24,0,7,7,2.5,42.5,0,outdoors,grass,81,9,CAR00,Bank of America Stadium,training
2018_01_HOU_NE,2018,REG,1,2018-09-09,Sunday,13:00,HOU,20,NE,27,Home,7,47,0,7,7,6.0,49.5,0,outdoors,fieldturf,62,10,BOS00,Gillette Stadium,training
2018_01_JAX_NYG,2018,REG,1,2018-09-09,Sunday,13:00,JAX,20,NYG,15,Home,-5,35,0,7,7,-2.5,43.0,0,outdoors,fieldturf,59,7,NYC01,MetLife Stadium,training
2018_01_KC_LAC,2018,REG,1,2018-09-09,Sunday,16:05,KC,38,LAC,28,Home,-10,66,0,7,7,3.5,48.0,1,outdoors,grass,84,8,LAX97,StubHub Center,training
2018_01_LA_OAK,2018,REG,1,2018-09-10,Monday,22:20,LA,33,LV,13,Home,-20,46,0,7,7,-6.0,47.5,0,outdoors,grass,69,10,OAK00,Oakland-Alameda County Coliseum,training
2018_01_NYJ_DET,2018,REG,1,2018-09-10,Monday,19:10,NYJ,48,DET,17,Home,-31,65,0,7,7,7.0,44.0,0,dome,fieldturf,,,DET00,Ford Field,training
2018_01_PIT_CLE,2018,REG,1,2018-09-09,Sunday,13:00,PIT,21,CLE,21,Home,0,42,1,7,7,-3.5,41.0,1,outdoors,grass,58,11,CLE00,FirstEnergy Stadium,training
2018_01_SEA_DEN,2018,REG,1,2018-09-09,Sunday,16:25,SEA,24,DEN,27,Home,3,51,0,7,7,3.0,42.5,0,outdoors,grass,84,5,DEN00,Sports Authority Field at Mile High,training
2018_01_SF_MIN,2018,REG,1,2018-09-09,Sunday,13:00,SF,16,MIN,24,Home,8,40,0,7,7,6.0,46.5,0,dome,sportturf,,,MIN01,U.S. Bank Stadium,training
2018_01_TB_NO,2018,REG,1,2018-09-09,Sunday,13:00,TB,48,NO,40,Home,-8,88,0,7,7,10.0,50.0,1,dome,sportturf,,,NOR00,Mercedes-Benz Superdome,training
2018_01_TEN_MIA,2018,REG,1,2018-09-09,Sunday,13:00,TEN,20,MIA,27,Home,7,47,0,7,7,-1.0,43.5,0,outdoors,grass,89,7,MIA00,Hard Rock Stadium,training
2018_01_WAS_ARI,2018,REG,1,2018-09-09,Sunday,16:25,WAS,24,ARI,6,Home,-18,30,0,7,7,2.0,43.5,0,closed,grass,,,PHO00,State Farm Stadium,training
2018_02_ARI_LA,2018,REG,2,2018-09-16,Sunday,16:05,ARI,0,LA,34,Home,34,34,0,7,6,13.5,43.5,1,outdoors,grass,86,2,LAX99,Los Angeles Memorial Coliseum,training
2018_02_BAL_CIN,2018,REG,2,2018-09-13,Thursday,20:20,BAL,23,CIN,34,Home,11,57,0,4,4,1.0,43.0,1,outdoors,fieldturf,82,3,CIN00,Paul Brown Stadium,training
2018_02_CAR_ATL,2018,REG,2,2018-09-16,Sunday,13:00,CAR,24,ATL,31,Home,7,55,0,7,10,5.5,44.0,1,closed,fieldturf,,,ATL97,Mercedes-Benz Stadium,training
2018_02_CLE_NO,2018,REG,2,2018-09-16,Sunday,13:00,CLE,18,NO,21,Home,3,39,0,7,7,10.0,51.0,0,dome,sportturf,,,NOR00,Mercedes-Benz Superdome,training
2018_02_DET_SF,2018,REG,2,2018-09-16,Sunday,16:05,DET,27,SF,30,Home,3,57,0,6,7,6.0,48.5,0,outdoors,grass,73,12,SFO01,Levi's Stadium,training
2018_02_HOU_TEN,2018,REG,2,2018-09-16,Sunday,13:00,HOU,17,TEN,20,Home,3,37,0,7,7,-3.5,41.0,1,outdoors,grass,81,12,NAS00,Nissan Stadium,training
2018_02_IND_WAS,2018,REG,2,2018-09-16,Sunday,13:00,IND,21,WAS,9,Home,-12,30,0,7,7,6.0,48.0,0,outdoors,grass,71,5,WAS00,FedExField,training
2018_02_KC_PIT,2018,REG,2,2018-09-16,Sunday,13:00,KC,42,PIT,37,Home,-5,79,0,7,7,4.5,52.0,0,outdoors,grass,80,10,PIT00,Heinz Field,training
2018_02_LAC_BUF,2018,REG,2,2018-09-16,Sunday,13:00,LAC,31,BUF,20,Home,-11,51,0,7,7,-7.5,41.5,0,outdoors,a_turf,83,6,BUF00,New Era Field,training
2018_02_MIA_NYJ,2018,REG,2,2018-09-16,Sunday,13:00,MIA,20,NYJ,12,Home,-8,32,0,7,6,3.0,43.0,1,outdoors,fieldturf,80,4,NYC01,MetLife Stadium,training
2018_02_MIN_GB,2018,REG,2,2018-09-16,Sunday,13:00,MIN,29,GB,29,Home,0,58,1,7,7,-2.0,45.0,1,outdoors,grass,80,5,GNB00,Lambeau Field,training
2018_02_NE_JAX,2018,REG,2,2018-09-16,Sunday,16:25,NE,20,JAX,31,Home,11,51,0,7,7,-2.0,44.5,0,outdoors,grass,97,15,JAX00,TIAA Bank Stadium,training
2018_02_NYG_DAL,2018,REG,2,2018-09-16,Sunday,20:20,NYG,13,DAL,20,Home,7,33,0,7,7,3.0,42.0,1,closed,matrixturf,,,DAL00,AT&T Stadium,training
2018_02_OAK_DEN,2018,REG,2,2018-09-16,Sunday,16:25,LV,19,DEN,20,Home,1,39,0,6,7,5.5,44.5,1,outdoors,grass,92,4,DEN00,Sports Authority Field at Mile High,training
2018_02_PHI_TB,2018,REG,2,2018-09-16,Sunday,13:00,PHI,21,TB,27,Home,6,48,0,10,7,-3.0,46.5,0,outdoors,grass,91,9,TAM00,Raymond James Stadium,training
2018_02_SEA_CHI,2018,REG,2,2018-09-17,Monday,20:15,SEA,17,CHI,24,Home,7,41,0,8,8,5.0,42.5,0,outdoors,grass,79,2,CHI98,Soldier Field,training
2018_03_BUF_MIN,2018,REG,3,2018-09-23,Sunday,13:00,BUF,27,MIN,6,Home,-21,33,0,7,7,16.5,41.0,0,dome,sportturf,,,MIN01,U.S. Bank Stadium,training
2018_03_CHI_ARI,2018,REG,3,2018-09-23,Sunday,16:25,CHI,16,ARI,14,Home,-2,30,0,6,7,-6.0,39.0,0,closed,grass,,,PHO00,State Farm Stadium,training
2018_03_CIN_CAR,2018,REG,3,2018-09-23,Sunday,13:00,CIN,21,CAR,31,Home,10,52,0,10,7,2.5,44.0,0,outdoors,grass,80,3,CAR00,Bank of America Stadium,training
2018_03_DAL_SEA,2018,REG,3,2018-09-23,Sunday,16:25,DAL,13,SEA,24,Home,11,37,0,7,6,1.0,40.0,0,outdoors,fieldturf,61,4,SEA00,CenturyLink Field,training
2018_03_DEN_BAL,2018,REG,3,2018-09-23,Sunday,13:00,DEN,14,BAL,27,Home,13,41,0,7,10,5.5,46.0,0,outdoors,grass,61,5,BAL00,M&T Bank Stadium,training
2018_03_GB_WAS,2018,REG,3,2018-09-23,Sunday,13:00,GB,17,WAS,31,Home,14,48,0,7,7,-2.5,46.5,0,outdoors,grass,62,6,WAS00,FedExField,training
