game_id,pfr_game_id,season,game_type,week,player,pfr_player_id,position,team,opponent,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct,data_split
2018_01_ATL_PHI,201809060phi,2018,REG,1,Robert Alford,AlfoRo00,CB,ATL,PHI,0.0,0.0,72.0,1.0,6.0,0.22,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Ricardo Allen,AlleRi00,SS,ATL,PHI,0.0,0.0,72.0,1.0,3.0,0.11,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Vic Beasley,BeasVi00,LB,ATL,PHI,0.0,0.0,44.0,0.61,0.0,0.0,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Justin Bethel,BethJu00,CB,ATL,PHI,0.0,0.0,0.0,0.0,24.0,0.89,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Matthew Bosher,BoshMa00,P,ATL,PHI,0.0,0.0,0.0,0.0,13.0,0.48,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Deante Burton,BurtDe00,WR,ATL,PHI,0.0,0.0,5.0,0.07,18.0,0.67,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,De'Vondre Campbell,CampDe00,LB,ATL,PHI,0.0,0.0,71.0,0.99,2.0,0.07,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Tevin Coleman,ColeTe01,RB,ATL,PHI,36.0,0.51,0.0,0.0,0.0,0.0,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Jack Crawford,CrawJa00,DT,ATL,PHI,0.0,0.0,30.0,0.42,0.0,0.0,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Devonta Freeman,FreeDe00,RB,ATL,PHI,39.0,0.56,0.0,0.0,0.0,0.0,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Brandon Fusco,FuscBr00,G,ATL,PHI,70.0,1.0,0.0,0.0,3.0,0.11,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Russell Gage,GageRu00,WR,ATL,PHI,1.0,0.01,0.0,0.0,19.0,0.7,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Marvin Hall,HallMa02,WR,ATL,PHI,9.0,0.13,0.0,0.0,13.0,0.48,training
2018_01_ATL_PHI,201809060phi,2018,REG,1,Justin Hardy,HardJu00,WR,ATL,PHI,6.0,0.09,0.0,0.0,16.0,0.59,training
