player_id,player_name,player_display_name,position,position_group,headshot_url,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,target_share,air_yards_share,wopr,special_teams_tds,fumbles_lost_total,fantasy_points,fantasy_points_ppr,data_split,calculated_fantasy_points_ppr,fantasy_point_difference
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2018,1,REG,2018_01_HOU_NE,NE,HOU,26,39,277,3,1,2,-10,0,0,320,93,16,8.182893924308008,2.0075062910715737,0,1,2,0,0,0,1,1.8376272431341931,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,21.279999999999998,21.279999999999998,training,21.28,0.0
00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt6nv11jgsirnuymookt",2018,1,REG,2018_01_TB_NO,NO,TB,37,45,439,3,0,1,-7,0,0,348,167,19,23.326555751027698,13.136177171360362,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,31.56,31.56,training,31.56,0.0
00-0021547,A.Gates,Antonio Gates,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",2018,1,REG,2018_01_KC_LAC,LAC,KC,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,2,3,16,0,0,0,27,5,1,1.9583864325687754,1,0.06,0.055900621118012424,0.1291304347826087,0,0,3.6,5.6,training,5.6,0.0
00-0022803,E.Manning,Eli Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w51tf8uedjftbr4qpaex",2018,1,REG,2018_01_JAX_NYG,NYG,JAX,23,37,224,0,1,2,-14,0,0,249,86,8,-11.79819566015601,-4.550692521863514,0,1,2,0,0,0,0,-0.408166364999488,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,7.160000000000001,7.160000000000001,training,7.16,-0.0
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/giswjsemt4f7ppwxtqgp",2018,1,REG,2018_01_WAS_ARI,ARI,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,7,10,76,0,0,0,90,21,3,2.1039132206642535,0,0.29411764705882354,0.4326923076923077,0.7440610859728507,0,0,7.6000000000000005,14.600000000000001,training,14.6,-0.0
00-0022924,B.Roethlisberger,Ben Roethlisberger,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",2018,1,REG,2018_01_PIT_CLE,PIT,CLE,23,41,335,1,3,4,-22,2,2,382,213,17,-6.687471224036439,-9.987981544762123,0,3,16,0,0,0,2,3.017744515091181,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,2,8.999999999999998,8.999999999999998,training,9.0,0.0
00-0022942,P.Rivers,Philip Rivers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/voakyrtj34sghkwxaxxf",2018,1,REG,2018_01_KC_LAC,LAC,KC,34,51,424,3,1,1,-6,0,0,483,249,23,16.117956372414145,3.6634639501571655,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,28.96,28.96,training,28.96,0.0
00-0022943,B.Watson,Benjamin Watson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dorymozpdnrllkqlfzpu",2018,1,REG,2018_01_TB_NO,NO,TB,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,4,4,44,0,0,0,41,3,4,5.120501109107863,0,0.09090909090909091,0.11781609195402298,0.21883490073145245,0,0,4.4,8.4,training,8.4,0.0
00-0023436,A.Smith,Alex Smith,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hinmlhyjffsmq6bwq6tk",2018,1,REG,2018_01_WAS_ARI,WAS,ARI,21,30,255,2,0,3,-8,1,0,101,180,13,13.331766827388144,1.4246637451237645,0,8,14,0,1,0,2,-0.5660300062736496,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,19.6,19.6,training,19.6,0.0
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2018,1,REG,2018_01_CHI_GB,GB,CHI,20,30,286,3,0,2,-19,1,0,285,159,11,9.927506220425231,4.003050871964159,0,1,15,0,0,0,0,0.3016404495574534,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,24.939999999999998,24.939999999999998,training,24.94,0.0
00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gfuklcqmphmdy9ncwrdt",2018,1,REG,2018_01_TEN_MIA,MIA,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,,0,9,61,0,0,0,3,0.69200548430962,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,6.1000000000000005,6.1000000000000005,training,6.1,-0.0
00-0023564,D.Sproles,Darren Sproles,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvj5ng27blmwuz170aeo",2018,1,REG,2018_01_ATL_PHI,PHI,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,,0,5,10,0,0,0,1,-0.4127008264185861,0,4,7,22,0,0,0,-3,22,1,-0.5681926220422611,0,0.2,-0.010526315789473684,0.29263157894736846,0,0,3.2,7.2,training,7.2,0.0
00-0023662,M.Cassel,Matt Cassel,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n1ucqggyu5hlsqzuv5gj",2018,1,REG,2018_01_NYJ_DET,DET,NYJ,2,6,14,0,1,0,0,0,0,49,4,0,-8.034381276112981,-39.63901400566101,0,1,-1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,-1.54,-1.54,training,-1.54,0.0
00-0023682,R.Fitzpatrick,Ryan Fitzpatrick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkhhxwplsawnhln9rsun",2018,1,REG,2018_01_TB_NO,TB,NO,21,28,417,4,0,0,0,0,0,341,130,17,29.170436745339323,12.812101202351707,0,12,36,1,0,0,3,1.32630235736724,0,0,0,0,0,0,0,0,0,0,,0,0.0,0.0,0.0,0,0,42.28,42.28,training,42.28,0.0
