season,week,game_type,team,position,depth_chart_position,jersey_number,status,status_description_abbr,full_name,football_name,first_name,last_name,gsis_id,pfr_id,espn_id,sleeper_id,years_exp,rookie_year,birth_date,height,weight,college,entry_year,draft_club,draft_number,pfr_id_conflict,pfr_id_source,data_split
2018,1,REG,ARI,K,K,4,ACT,A01,Phil Dawson,Phil,Philip,Dawson,00-0004091,dawsophi01,1440,229,20,1998,1975-01-23,71.0,200,Texas,1998,,,false,player_identity,training
2018,1,REG,ARI,P,P,2,ACT,A01,Andy Lee,Andy,Andy,Lee,00-0022824,LeexAn20,5713,112,14,2004,1982-08-11,73.0,185,Pittsburgh,2004,SF,188,false,player_identity,training
2018,1,REG,ARI,WR,WR,11,ACT,A01,Larry Fitzgerald,Larry,Larry,Fitzgerald,00-0022921,FitzLa00,5528,223,14,2004,1983-08-31,75.0,218,Pittsburgh,2004,ARI,3,false,player_identity,training
2018,1,REG,ARI,DB,FS,41,ACT,A01,Antoine Bethea,Antoine,Antoine,Bethea,00-0024421,BethAn20,9793,88,12,2006,1984-07-27,71.0,206,Howard,2006,IND,207,false,player_identity,training
2018,1,REG,ARI,OL,C,53,RES,,A.Q. Shipley,A.Q.,A.Q.,Shipley,00-0026950,ShipA.20,,,9,2009,1986-05-22,73.0,307,Penn State,2009,PIT,,false,player_identity,training
2018,1,REG,ARI,OL,T,71,ACT,A01,Andre Smith,Andre,Andre,Smith,00-0026982,SmitAn23,,,9,2009,1987-01-25,76.0,325,Alabama,2009,CIN,6,false,player_identity,training
2018,1,REG,ARI,DL,DT,98,ACT,A01,Corey Peters,Corey,Corey,Peters,00-0027686,PeteCo00,13292,608,8,2010,1988-06-08,75.0,305,Kentucky,2010,ATL,83,false,player_identity,training
2018,1,REG,ARI,DL,DE,93,RES,,Arthur Moats,Arthur,Arthur,Moats,00-0027777,MoatAr00,13422,702,8,2010,1988-03-14,72.0,246,James Madison,2010,BUF,,false,player_identity,training
2018,1,REG,ARI,QB,QB,9,ACT,A01,Sam Bradford,Sam,Samuel,Bradford,00-0027854,BradSa00,13197,621,8,2010,1987-11-08,76.0,224,Oklahoma,2010,STL,1,false,player_identity,training
2018,1,REG,ARI,OL,OG,76,ACT,A01,Mike Iupati,Mike,Mike,Iupati,00-0027869,IupaMi20,,,8,2010,1987-05-12,77.0,331,Idaho,2010,SF,17,false,player_identity,training
2018,1,REG,ARI,TE,TE,84,ACT,A01,Jermaine Gresham,Jermaine,Jermaine,Gresham,00-0027873,GresJe00,13228,530,8,2010,1988-06-16,77.0,260,Oklahoma,2010,CIN,21,false,player_identity,training
2018,1,REG,ARI,DB,CB,21,ACT,A01,Patrick Peterson,Patrick,Patrick,Peterson,00-0027943,PetePa00,13980,972,7,2011,1990-07-11,73.0,203,Louisiana State,2011,ARI,5,false,player_identity,training
2018,1,REG,ARI,WR,WR,18,CUT,,Greg Little,Greg,Greg,Little,00-0027997,LittGr00,14024,835,7,2011,,74.0,220,North Carolina,2011,CLE,,false,player_identity,training
2018,1,REG,ARI,LB,ILB,57,ACT,A01,Josh Bynes,Josh,Joshua,Bynes,00-0028278,ByneJo00,14519,821,7,2011,1989-08-24,73.0,235,Auburn,2011,,,false,player_identity,training
2018,1,REG,ARI,LS,LS,46,ACT,A01,Aaron Brewer,Aaron,Aaron,Brewer,00-0028946,BrewAa00,15241,1122,6,2012,1990-07-05,77.0,232,San Diego State,2012,,,false,player_identity,training
2018,1,REG,ARI,RB,FB,32,ACT,A01,Derrick Coleman,Derrick,Derrick,Coleman,00-0029068,ColeDe00,15351,1716,6,2012,1990-10-18,72.0,233,UCLA,2012,,,false,player_identity,training
2018,1,REG,ARI,DL,DE,96,ACT,A01,Jacquies Smith,Jacquies,Jacquies,Smith,00-0029112,SmitJa01,15256,1773,6,2012,1990-03-18,74.0,260,Missouri,2012,,,false,player_identity,training
2018,1,REG,ARI,DL,DE,55,ACT,A01,Chandler Jones,Chandler,Chandler,Jones,00-0029585,JoneCh03,14927,1038,6,2012,1990-02-27,77.0,265,Syracuse,2012,NE,21,false,player_identity,training
2018,1,REG,ARI,OL,T,73,ACT,A01,John Wetzel,John,John,Wetzel,00-0029762,WetzJo00,,,5,2013,1991-07-18,79.0,328,Boston College,2013,,,false,player_identity,training
