season,week,game_id,game_date,team,opponent,sacks,interceptions,fumble_recoveries,defensive_touchdowns,special_teams_touchdowns,blocked_kicks,safeties,points_allowed,yards_allowed,espn_fantasy_points,yahoo_fantasy_points
2025,1,2025_01_ARI_NO,2025-09-07,ARI,NO,1,0,0,0,0,0,0,13.0,327,4.0,5.0
2025,1,2025_01_ARI_NO,2025-09-07,NO,ARI,5,0,0,0,0,1,0,20.0,342,7.0,8.0
2025,1,2025_01_BAL_BUF,2025-09-07,BAL,BUF,1,0,0,0,0,0,0,41.0,507,-8.0,-3.0
2025,1,2025_01_BAL_BUF,2025-09-07,BUF,BAL,2,0,1,0,0,0,0,40.0,462,-4.0,0.0
2025,1,2025_01_CAR_JAX,2025-09-07,CAR,JAX,0,1,0,0,0,0,0,26.0,378,1.0,2.0
2025,1,2025_01_CAR_JAX,2025-09-07,JAX,CAR,1,2,1,0,0,0,0,10.0,279,12.0,11.0
2025,1,2025_01_CIN_CLE,2025-09-07,CIN,CLE,2,2,0,0,0,0,0,16.0,351,6.0,7.0
2025,1,2025_01_CIN_CLE,2025-09-07,CLE,CIN,3,0,0,0,0,0,0,17.0,177,7.0,4.0
2025,1,2025_01_DAL_PHI,2025-09-04,DAL,PHI,1,0,0,0,0,0,0,24.0,318,1.0,1.0
2025,1,2025_01_DAL_PHI,2025-09-04,PHI,DAL,0,0,1,0,0,0,0,20.0,307,2.0,3.0
2025,1,2025_01_DET_GB,2025-09-07,DET,GB,0,0,0,0,0,0,0,27.0,266,2.0,0.0
2025,1,2025_01_DET_GB,2025-09-07,GB,DET,4,1,0,0,0,0,0,13.0,296,11.0,10.0
2025,1,2025_01_HOU_LA,2025-09-07,HOU,LA,3,0,1,0,0,0,0,14.0,338,6.0,6.0
2025,1,2025_01_HOU_LA,2025-09-07,LA,HOU,3,1,1,0,0,0,0,9.0,339,10.0,11.0
2025,1,2025_01_KC_LAC,2025-09-05,KC,LAC,3,0,0,0,0,0,0,27.0,422,0.0,3.0
2025,1,2025_01_KC_LAC,2025-09-05,LAC,KC,2,0,0,0,0,0,0,21.0,365,1.0,2.0
2025,1,2025_01_LV_NE,2025-09-07,LV,NE,4,1,0,0,0,0,0,13.0,358,8.0,10.0
2025,1,2025_01_LV_NE,2025-09-07,NE,LV,4,1,0,0,0,0,0,20.0,447,3.0,7.0
2025,1,2025_01_MIA_IND,2025-09-07,IND,MIA,3,2,1,0,0,0,0,8.0,237,14.0,13.0
2025,1,2025_01_MIA_IND,2025-09-07,MIA,IND,1,0,0,0,0,0,0,33.0,438,-3.0,0.0
2025,1,2025_01_MIN_CHI,2025-09-08,CHI,MIN,3,1,0,1,0,0,0,27.0,272,13.0,11.0
2025,1,2025_01_MIN_CHI,2025-09-08,MIN,CHI,2,0,1,0,0,0,0,18.0,341,4.0,5.0
2025,1,2025_01_NYG_WAS,2025-09-07,NYG,WAS,3,0,0,0,0,0,0,21.0,474,-2.0,3.0
2025,1,2025_01_NYG_WAS,2025-09-07,WAS,NYG,2,0,0,0,0,0,0,6.0,253,8.0,9.0
2025,1,2025_01_PIT_NYJ,2025-09-07,NYJ,PIT,4,0,0,0,0,0,0,34.0,323,3.0,3.0
2025,1,2025_01_PIT_NYJ,2025-09-07,PIT,NYJ,1,0,1,0,0,0,0,32.0,406,-1.0,2.0
2025,1,2025_01_SF_SEA,2025-09-07,SEA,SF,1,2,0,0,0,1,0,17.0,408,5.0,8.0
2025,1,2025_01_SF_SEA,2025-09-07,SF,SEA,1,0,2,0,0,0,0,13.0,238,10.0,9.0
2025,1,2025_01_TB_ATL,2025-09-07,ATL,TB,1,0,0,0,0,0,0,23.0,276,3.0,1.0
2025,1,2025_01_TB_ATL,2025-09-07,TB,ATL,1,0,0,0,0,0,0,20.0,376,0.0,2.0
2025,1,2025_01_TEN_DEN,2025-09-07,DEN,TEN,6,0,2,0,0,0,0,12.0,233,15.0,14.0
2025,1,2025_01_TEN_DEN,2025-09-07,TEN,DEN,1,2,2,0,0,0,0,20.0,337,9.0,10.0
2025,2,2025_02_ATL_MIN,2025-09-14,ATL,MIN,6,2,2,0,0,0,0,6.0,274,20.0,21.0
2025,2,2025_02_ATL_MIN,2025-09-14,MIN,ATL,3,0,1,0,0,0,0,22.0,380,4.0,5.0
2025,2,2025_02_BUF_NYJ,2025-09-14,BUF,NYJ,4,0,1,0,0,0,0,10.0,212,11.0,10.0
2025,2,2025_02_BUF_NYJ,2025-09-14,NYJ,BUF,1,0,0,0,0,0,0,30.0,405,-3.0,0.0
2025,2,2025_02_CAR_ARI,2025-09-14,ARI,CAR,3,1,1,1,0,0,0,22.0,402,10.0,13.0
2025,2,2025_02_CAR_ARI,2025-09-14,CAR,ARI,1,1,0,0,0,0,0,21.0,311,3.0,3.0
2025,2,2025_02_CHI_DET,2025-09-14,CHI,DET,0,0,0,0,0,0,0,52.0,511,-11.0,-4.0
2025,2,2025_02_CHI_DET,2025-09-14,DET,CHI,4,1,1,0,0,0,0,21.0,397,7.0,8.0
2025,2,2025_02_CLE_BAL,2025-09-14,BAL,CLE,2,1,1,1,0,1,0,17.0,344,15.0,15.0
2025,2,2025_02_CLE_BAL,2025-09-14,CLE,BAL,3,0,0,0,0,0,0,35.0,298,2.0,-1.0
2025,2,2025_02_DEN_IND,2025-09-14,DEN,IND,1,0,0,0,0,0,0,29.0,493,-5.0,0.0
2025,2,2025_02_DEN_IND,2025-09-14,IND,DEN,0,1,0,0,0,0,0,28.0,324,1.0,1.0
2025,2,2025_02_JAX_CIN,2025-09-14,CIN,JAX,1,2,0,0,0,0,0,27.0,420,2.0,5.0
2025,2,2025_02_JAX_CIN,2025-09-14,JAX,CIN,3,3,0,0,0,0,0,31.0,380,7.0,8.0
2025,2,2025_02_LAC_LV,2025-09-15,LAC,LV,3,3,0,0,0,0,0,9.0,278,14.0,13.0
2025,2,2025_02_LAC_LV,2025-09-15,LV,LAC,2,0,1,0,0,0,0,20.0,329,4.0,5.0
2025,2,2025_02_LA_TEN,2025-09-14,LA,TEN,5,0,1,0,0,0,0,19.0,316,7.0,8.0
