season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,field_goals_made,field_goals_attempted,field_goals_missed,field_goals_blocked,field_goals_made_0_19,field_goals_made_20_29,field_goals_made_30_39,field_goals_made_40_49,field_goals_made_50_59,field_goals_made_60_plus,extra_points_made,extra_points_attempted,extra_points_missed,extra_points_blocked,espn_fantasy_points,yahoo_fantasy_points
2025,1,2025_01_ARI_NO,2025-09-07,00-0038567,Chad Ryland,K,ARI,NO,2,3,0,1,0,0,0,1,1,0,2,2,0,0,11.0,11.0
2025,1,2025_01_ARI_NO,2025-09-07,00-0038905,Blake Grupe,K,NO,ARI,2,3,1,0,0,1,1,0,0,0,1,1,0,0,6.0,7.0
2025,1,2025_01_BAL_BUF,2025-09-07,00-0040074,Tyler Loop,K,BAL,BUF,2,2,0,0,0,0,0,1,1,0,4,5,1,0,13.0,13.0
2025,1,2025_01_BAL_BUF,2025-09-07,00-0023853,Matt Prater,K,BUF,BAL,3,3,0,0,0,1,1,1,0,0,2,2,0,0,12.0,12.0
2025,1,2025_01_CAR_JAX,2025-09-07,00-0040279,Ryan Fitzgerald,K,CAR,JAX,1,1,0,0,0,0,0,1,0,0,1,1,0,0,5.0,5.0
2025,1,2025_01_CAR_JAX,2025-09-07,00-0039409,Cam Little,K,JAX,CAR,4,4,0,0,0,1,2,1,0,0,2,2,0,0,15.0,15.0
2025,1,2025_01_CIN_CLE,2025-09-07,00-0036854,Evan McPherson,K,CIN,CLE,1,1,0,0,0,0,1,0,0,0,2,2,0,0,5.0,5.0
2025,1,2025_01_CIN_CLE,2025-09-07,00-0038428,Andre Szmyt,K,CLE,CIN,1,2,1,0,0,0,0,1,0,0,1,2,1,0,4.0,5.0
2025,1,2025_01_DAL_PHI,2025-09-04,00-0037692,Brandon Aubrey,K,DAL,PHI,2,2,0,0,0,0,0,1,1,0,2,2,0,0,11.0,11.0
2025,1,2025_01_DAL_PHI,2025-09-04,00-0033787,Jake Elliott,K,PHI,DAL,1,1,0,0,0,0,0,0,1,0,3,3,0,0,8.0,8.0
