season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,fantasy_points_ppr
2025,1,2025_01_ARI_NO,2025-09-07,00-0035228,Kyler Murray,QB,ARI,NO,18.32
2025,1,2025_01_ARI_NO,2025-09-07,00-0039849,Marvin Harrison Jr.,WR,ARI,NO,18.1
2025,1,2025_01_ARI_NO,2025-09-07,00-0036040,Juwan Johnson,TE,NO,ARI,15.600000000000001
2025,1,2025_01_ARI_NO,2025-09-07,00-0033553,James Conner,RB,ARI,NO,14.4
2025,1,2025_01_ARI_NO,2025-09-07,00-0033906,Alvin Kamara,RB,NO,ARI,13.7
2025,1,2025_01_ARI_NO,2025-09-07,00-0037239,Chris Olave,WR,NO,ARI,12.4
2025,1,2025_01_ARI_NO,2025-09-07,00-0037744,Trey McBride,TE,ARI,NO,12.100000000000001
2025,1,2025_01_ARI_NO,2025-09-07,00-0039376,Spencer Rattler,QB,NO,ARI,11.46
2025,1,2025_01_ARI_NO,2025-09-07,00-0037545,Rashid Shaheed,WR,NO,ARI,9.3
2025,1,2025_01_ARI_NO,2025-09-07,00-0039921,Trey Benson,RB,ARI,NO,8.5
2025,1,2025_01_ARI_NO,2025-09-07,00-0031236,Brandin Cooks,WR,NO,ARI,5.6
2025,1,2025_01_ARI_NO,2025-09-07,00-0038551,Kendre Miller,RB,NO,ARI,2.4000000000000004
2025,1,2025_01_ARI_NO,2025-09-07,00-0039424,Devaughn Vele,WR,NO,ARI,2.3
2025,1,2025_01_ARI_NO,2025-09-07,00-0039737,Tip Reiman,TE,ARI,NO,2.0
2025,1,2025_01_ARI_NO,2025-09-07,00-0038559,Michael Wilson,WR,ARI,NO,1.5
2025,1,2025_01_ARI_NO,2025-09-07,00-0033891,Zay Jones,WR,ARI,NO,1.4
2025,1,2025_01_ARI_NO,2025-09-07,00-0039041,Elijah Higgins,TE,ARI,NO,1.3
2025,1,2025_01_ARI_NO,2025-09-07,00-0040202,Devin Neal,RB,NO,ARI,0.9
2025,1,2025_01_ARI_NO,2025-09-07,00-0035500,Greg Dortch,WR,ARI,NO,0.8
2025,1,2025_01_ARI_NO,2025-09-07,00-0038705,Emari Demercado,RB,ARI,NO,0.0
2025,1,2025_01_ARI_NO,2025-09-07,00-0036741,Jack Stoll,TE,NO,ARI,0.0
2025,1,2025_01_ARI_NO,2025-09-07,00-0037745,Velus Jones Jr.,WR,NO,ARI,0.0
2025,1,2025_01_BAL_BUF,2025-09-07,00-0034857,Josh Allen,QB,BUF,BAL,38.76
2025,1,2025_01_BAL_BUF,2025-09-07,00-0034796,Lamar Jackson,QB,BAL,BUF,29.36
2025,1,2025_01_BAL_BUF,2025-09-07,00-0032764,Derrick Henry,RB,BAL,BUF,29.2
2025,1,2025_01_BAL_BUF,2025-09-07,00-0039064,Zay Flowers,WR,BAL,BUF,28.1
2025,1,2025_01_BAL_BUF,2025-09-07,00-0039901,Keon Coleman,WR,BUF,BAL,25.200000000000003
2025,1,2025_01_BAL_BUF,2025-09-07,00-0037248,James Cook,RB,BUF,BAL,21.200000000000003
2025,1,2025_01_BAL_BUF,2025-09-07,00-0038933,Dalton Kincaid,TE,BUF,BAL,14.8
2025,1,2025_01_BAL_BUF,2025-09-07,00-0037261,Khalil Shakir,WR,BUF,BAL,12.4
2025,1,2025_01_BAL_BUF,2025-09-07,00-0030564,DeAndre Hopkins,WR,BAL,BUF,11.5
2025,1,2025_01_BAL_BUF,2025-09-07,00-0036988,Josh Palmer,WR,BUF,BAL,11.100000000000001
2025,1,2025_01_BAL_BUF,2025-09-07,00-0035689,Dawson Knox,TE,BUF,BAL,4.0
2025,1,2025_01_BAL_BUF,2025-09-07,00-0040194,Jackson Hawes,TE,BUF,BAL,3.9000000000000004
2025,1,2025_01_BAL_BUF,2025-09-07,00-0036550,Rashod Bateman,WR,BAL,BUF,3.0
2025,1,2025_01_BAL_BUF,2025-09-07,00-0035537,Ty Johnson,RB,BUF,BAL,2.4000000000000004
2025,1,2025_01_BAL_BUF,2025-09-07,00-0036980,Elijah Moore,WR,BUF,BAL,2.1
2025,1,2025_01_BAL_BUF,2025-09-07,00-0034753,Mark Andrews,TE,BAL,BUF,1.5
2025,1,2025_01_BAL_BUF,2025-09-07,00-0039875,Ray Davis,RB,BUF,BAL,1.1
2025,1,2025_01_BAL_BUF,2025-09-07,00-0039796,Rasheen Ali,RB,BAL,BUF,0.5
2025,1,2025_01_BAL_BUF,2025-09-07,00-0040075,LaJohntay Wester,WR,BAL,BUF,0.0
