season,week,game_id,game_date,team,opponent,espn_projected_points,espn_rank,espn_projection_method,yahoo_projected_points,yahoo_rank,yahoo_projection_method,history_games,source_as_of_utc,projection_created_at_utc,ranking_version
2026,1,2026_01_DEN_KC,2026-09-14,DEN,KC,11.44,1,defense_40_opponent_60,10.8,1,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_CLE_JAX,2026-09-13,JAX,CLE,9.52,2,defense_40_opponent_60,10.28,2,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_MIA_LV,2026-09-13,MIA,LV,9.28,3,defense_40_opponent_60,9.76,3,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_WAS_PHI,2026-09-13,PHI,WAS,7.8,4,defense_40_opponent_60,8.16,7,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_BAL_IND,2026-09-13,BAL,IND,7.68,5,defense_40_opponent_60,8.6,5,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_GB_MIN,2026-09-13,MIN,GB,7.6,6,defense_40_opponent_60,8.76,4,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_NYJ_TEN,2026-09-13,TEN,NYJ,7.48,7,defense_40_opponent_60,8.28,6,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_ARI_LAC,2026-09-13,LAC,ARI,6.84,8,defense_40_opponent_60,7.44,10,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_ATL_PIT,2026-09-13,PIT,ATL,6.68,9,defense_40_opponent_60,7.64,8,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_NO_DET,2026-09-13,NO,DET,5.84,10,defense_40_opponent_60,7.32,11,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_MIA_LV,2026-09-13,LV,MIA,5.68,11,defense_40_opponent_60,5.92,14,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_TB_CIN,2026-09-13,CIN,TB,5.56,12,defense_40_opponent_60,6.68,13,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_TB_CIN,2026-09-13,TB,CIN,5.52,13,defense_40_opponent_60,7.64,9,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
2026,1,2026_01_CHI_CAR,2026-09-13,CHI,CAR,5.36,14,defense_40_opponent_60,5.88,15,defense_40_opponent_60,51,2026-08-22T07:46:47.668866+00:00,2026-08-22T13:21:33.137283+00:00,v1_dst_recent_form
