season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,selection_status,espn_projected_points,espn_rank,espn_projection_method,yahoo_projected_points,yahoo_rank,yahoo_projection_method,team_history_games,player_history_games,source_as_of_utc,projection_created_at_utc,ranking_version
2026,1,2026_01_BUF_HOU,2026-09-13,00-0032726,Ka'imi Fairbairn,K,HOU,BUF,PRIMARY_DEPTH_CHART,11.68,1,team_60_opponent_40,11.68,3,team_60_opponent_40,51,44,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_BAL_IND,2026-09-13,00-0040074,Tyler Loop,K,BAL,IND,PRIMARY_DEPTH_CHART,11.44,2,team_60_opponent_40,11.76,2,team_60_opponent_40,51,17,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_DAL_NYG,2026-09-13,00-0037692,Brandon Aubrey,K,DAL,NYG,PRIMARY_DEPTH_CHART,11.32,3,team_60_opponent_40,11.84,1,team_60_opponent_40,51,51,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_NO_DET,2026-09-13,00-0041333,Mason Shipley,K,NO,DET,ACTIVE_ROSTER_FALLBACK,11.08,4,team_60_opponent_40,11.56,4,team_60_opponent_40,51,0,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_GB_MIN,2026-09-13,00-0039404,Will Reichard,K,MIN,GB,PRIMARY_DEPTH_CHART,10.8,5,team_60_opponent_40,10.8,5,team_60_opponent_40,51,30,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_ARI_LAC,2026-09-13,00-0037224,Cameron Dicker,K,LAC,ARI,PRIMARY_DEPTH_CHART,10.64,6,team_60_opponent_40,10.76,6,team_60_opponent_40,51,51,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_NO_DET,2026-09-13,00-0039172,Jake Bates,K,DET,NO,PRIMARY_DEPTH_CHART,10.4,7,team_60_opponent_40,10.64,7,team_60_opponent_40,51,34,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_CLE_JAX,2026-09-13,00-0039409,Cam Little,K,JAX,CLE,PRIMARY_DEPTH_CHART,9.92,8,team_60_opponent_40,9.96,8,team_60_opponent_40,51,34,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_ATL_PIT,2026-09-13,00-0025565,Nick Folk,K,ATL,PIT,PRIMARY_DEPTH_CHART,9.48,9,team_60_opponent_40,9.56,11,team_60_opponent_40,51,47,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_DAL_NYG,2026-09-13,00-0040530,Ben Sauls,K,NYG,DAL,PRIMARY_DEPTH_CHART,9.36,10,team_60_opponent_40,9.6,9,team_60_opponent_40,51,3,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_DEN_KC,2026-09-14,00-0033303,Harrison Butker,K,KC,DEN,PRIMARY_DEPTH_CHART,9.32,11,team_60_opponent_40,9.56,10,team_60_opponent_40,51,47,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_NE_SEA,2026-09-09,00-0040200,Andy Borregales,K,NE,SEA,PRIMARY_DEPTH_CHART,9.28,12,team_60_opponent_40,9.52,12,team_60_opponent_40,51,17,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_BAL_IND,2026-09-13,00-0038905,Blake Grupe,K,IND,BAL,PRIMARY_DEPTH_CHART,9.16,13,team_60_opponent_40,9.04,16,team_60_opponent_40,51,50,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_SF_LA,2026-09-10,00-0039498,Harrison Mevis,K,LA,SF,PRIMARY_DEPTH_CHART,9.0,14,team_60_opponent_40,9.36,13,team_60_opponent_40,51,9,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_DEN_KC,2026-09-14,00-0032569,Wil Lutz,K,DEN,KC,PRIMARY_DEPTH_CHART,9.0,15,team_60_opponent_40,9.04,17,team_60_opponent_40,51,51,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_NYJ_TEN,2026-09-13,00-0034794,Jason Sanders,K,NYJ,TEN,PRIMARY_DEPTH_CHART,8.92,16,team_60_opponent_40,9.12,15,team_60_opponent_40,49,34,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_ATL_PIT,2026-09-13,00-0031136,Chris Boswell,K,PIT,ATL,PRIMARY_DEPTH_CHART,8.8,17,team_60_opponent_40,9.28,14,team_60_opponent_40,51,51,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_NYJ_TEN,2026-09-13,00-0035192,Joey Slye,K,TEN,NYJ,PRIMARY_DEPTH_CHART,8.6,18,team_60_opponent_40,9.0,18,team_60_opponent_40,51,50,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_MIA_LV,2026-09-13,00-0036816,Riley Patterson,K,MIA,LV,PRIMARY_DEPTH_CHART,8.52,19,team_60_opponent_40,8.52,22,team_60_opponent_40,51,37,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_NE_SEA,2026-09-09,00-0031492,Jason Myers,K,SEA,NE,PRIMARY_DEPTH_CHART,8.4,20,team_60_opponent_40,8.72,20,team_60_opponent_40,51,51,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_SF_LA,2026-09-10,00-0034173,Eddy Pineiro,K,SF,LA,PRIMARY_DEPTH_CHART,8.36,21,team_60_opponent_40,8.64,21,team_60_opponent_40,51,46,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_ARI_LAC,2026-09-13,00-0038567,Chad Ryland,K,ARI,LAC,PRIMARY_DEPTH_CHART,8.32,22,team_60_opponent_40,8.76,19,team_60_opponent_40,51,47,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_CHI_CAR,2026-09-13,00-0031203,Cairo Santos,K,CHI,CAR,PRIMARY_DEPTH_CHART,8.04,23,team_60_opponent_40,8.16,23,team_60_opponent_40,51,49,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_TB_CIN,2026-09-13,00-0035358,Chase McLaughlin,K,TB,CIN,PRIMARY_DEPTH_CHART,7.68,24,team_60_opponent_40,7.68,25,team_60_opponent_40,51,51,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_CLE_JAX,2026-09-13,00-0038428,Andre Szmyt,K,CLE,JAX,PRIMARY_DEPTH_CHART,7.0,25,team_60_opponent_40,7.16,26,team_60_opponent_40,51,17,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_GB_MIN,2026-09-13,00-0040899,Trey Smack,K,GB,MIN,PRIMARY_DEPTH_CHART,7.0,26,team_60_opponent_40,7.16,27,team_60_opponent_40,51,0,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_WAS_PHI,2026-09-13,00-0033787,Jake Elliott,K,PHI,WAS,PRIMARY_DEPTH_CHART,6.92,27,team_60_opponent_40,7.68,24,team_60_opponent_40,51,51,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_WAS_PHI,2026-09-13,00-0041182,Drew Stevens,K,WAS,PHI,PRIMARY_DEPTH_CHART,6.92,28,team_60_opponent_40,7.12,28,team_60_opponent_40,51,0,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_CHI_CAR,2026-09-13,00-0040279,Ryan Fitzgerald,K,CAR,CHI,PRIMARY_DEPTH_CHART,6.76,29,team_60_opponent_40,6.96,29,team_60_opponent_40,50,17,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_MIA_LV,2026-09-13,00-0035269,Matt Gay,K,LV,MIA,PRIMARY_DEPTH_CHART,6.36,30,team_60_opponent_40,6.24,30,team_60_opponent_40,51,45,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_TB_CIN,2026-09-13,00-0036854,Evan McPherson,K,CIN,TB,PRIMARY_DEPTH_CHART,5.4,31,team_60_opponent_40,5.56,31,team_60_opponent_40,51,46,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
2026,1,2026_01_BUF_HOU,2026-09-13,00-0036162,Tyler Bass,K,BUF,HOU,PRIMARY_DEPTH_CHART,4.52,32,team_60_opponent_40,4.68,32,team_60_opponent_40,51,34,2026-08-22T13:21:33.137283+00:00,2026-08-22T17:19:09.807078+00:00,v1_kicker_recent_form
