season,week,game_id,gameday,weekday,gametime,away_team,home_team,stadium_id,stadium,roof,surface,spread_line,total_line,temp,wind,venue_label,latitude,longitude,timezone,location_source
2026,1,2026_01_NE_SEA,2026-09-09,Wednesday,20:20,NE,SEA,SEA00,Lumen Field,outdoors,fieldturf,3.5,44.5,,,Seattle,47.5953459,-122.331644311961,America/Los_Angeles,nflverse_stadium_mapping
2026,1,2026_01_SF_LA,2026-09-10,Thursday,20:35,SF,LA,LAX01,Melbourne Cricket Ground,dome,matrixturf,3.5,48.5,,,Melbourne,-37.8199,144.9834,Australia/Melbourne,international_venue_override
2026,1,2026_01_ATL_PIT,2026-09-13,Sunday,13:00,ATL,PIT,PIT00,Acrisure Stadium,outdoors,grass,3.0,42.5,,,Pittsburgh,40.44671645,-80.0157549334943,America/New_York,nflverse_stadium_mapping
2026,1,2026_01_BAL_IND,2026-09-13,Sunday,13:00,BAL,IND,IND00,Lucas Oil Stadium,unknown,fieldturf,-3.5,48.5,,,Indianapolis,39.760085,-86.1637037946731,America/Indiana/Indianapolis,nflverse_stadium_mapping
2026,1,2026_01_BUF_HOU,2026-09-13,Sunday,13:00,BUF,HOU,HOU00,Reliant Stadium,unknown,astroturf,-1.5,44.5,,,Houston,29.6848581,-95.4108014532699,America/Chicago,nflverse_stadium_mapping
2026,1,2026_01_CHI_CAR,2026-09-13,Sunday,13:00,CHI,CAR,CAR00,Bank of America Stadium,outdoors,grass,-2.5,47.5,,,Charlotte,35.225737,-80.8536869740441,America/New_York,nflverse_stadium_mapping
2026,1,2026_01_CLE_JAX,2026-09-13,Sunday,13:00,CLE,JAX,JAX00,EverBank Stadium,outdoors,grass,7.5,40.5,,,Jacksonville,30.32398105,-81.6373045703404,America/New_York,nflverse_stadium_mapping
2026,1,2026_01_NO_DET,2026-09-13,Sunday,13:00,NO,DET,DET00,Ford Field,dome,fieldturf,7.0,48.5,,,Detroit,42.33995675,-83.045616574037,America/Detroit,nflverse_stadium_mapping
2026,1,2026_01_NYJ_TEN,2026-09-13,Sunday,13:00,NYJ,TEN,NAS00,Nissan Stadium,outdoors,grass,3.0,38.5,,,Nashville,36.16649655,-86.7712644420847,America/Chicago,nflverse_stadium_mapping
2026,1,2026_01_TB_CIN,2026-09-13,Sunday,13:00,TB,CIN,CIN00,Paycor Stadium,outdoors,fieldturf,3.5,51.5,,,Cincinnati,39.0954645,-84.5160488350198,America/New_York,nflverse_stadium_mapping
2026,1,2026_01_ARI_LAC,2026-09-13,Sunday,16:25,ARI,LAC,LAX01,SoFi Stadium,dome,matrixturf,10.5,46.5,,,Inglewood,33.95354625,-118.338793383194,America/Los_Angeles,nflverse_stadium_mapping
2026,1,2026_01_GB_MIN,2026-09-13,Sunday,16:25,GB,MIN,MIN01,U.S. Bank Stadium,dome,sportturf,1.5,45.5,,,Minneapolis,44.9749861,-93.2598737,America/Chicago,nflverse_stadium_mapping
2026,1,2026_01_MIA_LV,2026-09-13,Sunday,16:25,MIA,LV,VEG00,Allegiant Stadium,dome,grass,3.5,40.5,,,Las Vegas,36.09083455,-115.182477977026,America/Los_Angeles,nflverse_stadium_mapping
2026,1,2026_01_WAS_PHI,2026-09-13,Sunday,16:25,WAS,PHI,PHI00,Lincoln Financial Field,outdoors,grass,4.5,47.5,,,Philadelphia,39.9009099,-75.167489156059,America/New_York,nflverse_stadium_mapping
2026,1,2026_01_DAL_NYG,2026-09-13,Sunday,20:20,DAL,NYG,NYC01,MetLife Stadium,outdoors,fieldturf,-2.5,48.5,,,East Rutherford,40.81352375,-74.0734007489118,America/New_York,nflverse_stadium_mapping
2026,1,2026_01_DEN_KC,2026-09-14,Monday,20:15,DEN,KC,KAN00,GEHA Field at Arrowhead Stadium,outdoors,grass,3.0,42.5,,,Kansas City,39.04894045,-94.4849938110271,America/Chicago,nflverse_stadium_mapping
2026,2,2026_02_DET_BUF,2026-09-17,Thursday,20:15,DET,BUF,BUF00,Highmark Stadium,outdoors,a_turf,3.0,52.5,,,Orchard Park,42.7737131,-78.7869032106025,America/New_York,nflverse_stadium_mapping
2026,2,2026_02_CAR_ATL,2026-09-20,Sunday,13:00,CAR,ATL,ATL97,Mercedes-Benz Stadium,unknown,fieldturf,1.5,43.5,,,Atlanta,33.75539625,-84.4008156749447,America/New_York,nflverse_stadium_mapping
2026,2,2026_02_CIN_HOU,2026-09-20,Sunday,13:00,CIN,HOU,HOU00,Reliant Stadium,unknown,astroturf,2.5,46.5,,,Houston,29.6848581,-95.4108014532699,America/Chicago,nflverse_stadium_mapping
2026,2,2026_02_CLE_TB,2026-09-20,Sunday,13:00,CLE,TB,TAM00,Raymond James Stadium,outdoors,grass,5.5,42.5,,,Tampa,27.97597925,-82.5042179967362,America/New_York,nflverse_stadium_mapping
2026,2,2026_02_GB_NYJ,2026-09-20,Sunday,13:00,GB,NYJ,NYC01,MetLife Stadium,outdoors,fieldturf,-5.5,42.5,,,East Rutherford,40.81352375,-74.0734007489118,America/New_York,nflverse_stadium_mapping
2026,2,2026_02_MIN_CHI,2026-09-20,Sunday,13:00,MIN,CHI,CHI98,Soldier Field,outdoors,grass,3.5,45.5,,,Chicago,41.86245145,-87.6167151470407,America/Chicago,nflverse_stadium_mapping
2026,2,2026_02_NO_BAL,2026-09-20,Sunday,13:00,NO,BAL,BAL00,M&T Bank Stadium,outdoors,grass,7.5,46.5,,,Baltimore,39.2779664,-76.6238093083547,America/New_York,nflverse_stadium_mapping
2026,2,2026_02_PHI_TEN,2026-09-20,Sunday,13:00,PHI,TEN,NAS00,Nissan Stadium,outdoors,grass,-4.5,42.5,,,Nashville,36.16649655,-86.7712644420847,America/Chicago,nflverse_stadium_mapping
2026,2,2026_02_PIT_NE,2026-09-20,Sunday,13:00,PIT,NE,BOS00,Gillette Stadium,outdoors,fieldturf,4.5,43.5,,,Foxborough,42.0912526,-71.2644646105907,America/New_York,nflverse_stadium_mapping
2026,2,2026_02_JAX_DEN,2026-09-20,Sunday,16:05,JAX,DEN,DEN00,Empower Field at Mile High,outdoors,grass,2.5,43.5,,,Denver,39.743952,-105.019222812368,America/Denver,nflverse_stadium_mapping
2026,2,2026_02_LV_LAC,2026-09-20,Sunday,16:05,LV,LAC,LAX01,SoFi Stadium,dome,matrixturf,8.5,42.5,,,Inglewood,33.95354625,-118.338793383194,America/Los_Angeles,nflverse_stadium_mapping
2026,2,2026_02_MIA_SF,2026-09-20,Sunday,16:25,MIA,SF,SFO01,Levi's Stadium,outdoors,grass,10.5,46.5,,,Santa Clara,37.40303995,-121.969681705055,America/Los_Angeles,nflverse_stadium_mapping
2026,2,2026_02_SEA_ARI,2026-09-20,Sunday,16:25,SEA,ARI,PHO00,State Farm Stadium,unknown,grass,-10.0,44.5,,,Glendale,33.52770765,-112.262564902643,America/Phoenix,nflverse_stadium_mapping
2026,2,2026_02_WAS_DAL,2026-09-20,Sunday,16:25,WAS,DAL,DAL00,AT&T Stadium,unknown,matrixturf,4.5,51.5,,,Arlington,32.74785025,-97.0928337073774,America/Chicago,nflverse_stadium_mapping
