scope,column_name,data_type,compared_rows,mismatch_rows,maximum_absolute_difference,verification_status
metadata,season,key,350,0,0.0,PASS
predictor,week,key,350,0,0.0,PASS
metadata,game_id,categorical,350,0,0.0,PASS
metadata,game_date,date,350,0,0.0,PASS
metadata,player_id,key,350,0,0.0,PASS
metadata,player_display_name,categorical,350,0,0.0,PASS
predictor,position,categorical,350,0,0.0,PASS
predictor,team,categorical,350,0,0.0,PASS
predictor,opponent,categorical,350,0,0.0,PASS
predictor,game_location,categorical,350,0,0.0,PASS
predictor,roof,categorical,350,0,0.0,PASS
predictor,surface,categorical,350,0,0.0,PASS
predictor,is_home,numeric,350,0,0.0,PASS
predictor,team_rest,numeric,350,0,0.0,PASS
predictor,opponent_rest,numeric,350,0,0.0,PASS
predictor,source_spread_line,numeric,350,0,0.0,PASS
predictor,total_line,numeric,350,0,0.0,PASS
predictor,div_game,numeric,350,0,0.0,PASS
predictor,prior_games_count,numeric,350,0,0.0,PASS
predictor,prior_games_current_season,numeric,350,0,0.0,PASS
predictor,days_since_previous_game,numeric,350,0,0.0,PASS
predictor,is_first_observed_game,numeric,350,0,0.0,PASS
predictor,is_first_observed_game_of_season,numeric,350,0,0.0,PASS
predictor,has_previous_game,numeric,350,0,0.0,PASS
predictor,has_3_prior_games,numeric,350,0,0.0,PASS
predictor,has_5_prior_games,numeric,350,0,0.0,PASS
predictor,team_changed_since_previous_game,numeric,350,0,0.0,PASS
predictor,fantasy_points_ppr_prev_game,numeric,350,0,0.0,PASS
predictor,fantasy_points_ppr_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,fantasy_points_ppr_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,fantasy_points_ppr_stddev_last_5_games,numeric,350,0,3.552713678800501e-15,PASS
predictor,fantasy_points_ppr_min_last_5_games,numeric,350,0,0.0,PASS
predictor,fantasy_points_ppr_max_last_5_games,numeric,350,0,0.0,PASS
predictor,fantasy_points_ppr_season_to_date,numeric,350,0,7.105427357601002e-15,PASS
predictor,fantasy_points_ppr_stddev_season_to_date,numeric,350,0,2.6645352591003757e-15,PASS
predictor,attempts_prev_game,numeric,350,0,0.0,PASS
predictor,attempts_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,attempts_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,attempts_season_to_date,numeric,350,0,0.0,PASS
predictor,carries_prev_game,numeric,350,0,0.0,PASS
predictor,carries_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,carries_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,carries_season_to_date,numeric,350,0,0.0,PASS
predictor,targets_prev_game,numeric,350,0,0.0,PASS
predictor,targets_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,targets_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,targets_season_to_date,numeric,350,0,0.0,PASS
predictor,receptions_prev_game,numeric,350,0,0.0,PASS
predictor,receptions_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,receptions_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,touches_prev_game,numeric,350,0,0.0,PASS
predictor,touches_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,touches_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,opportunities_prev_game,numeric,350,0,0.0,PASS
predictor,opportunities_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,opportunities_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,opportunities_season_to_date,numeric,350,0,0.0,PASS
predictor,passing_yards_prev_game,numeric,350,0,0.0,PASS
predictor,passing_yards_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,rushing_yards_prev_game,numeric,350,0,0.0,PASS
predictor,rushing_yards_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,receiving_yards_prev_game,numeric,350,0,0.0,PASS
predictor,receiving_yards_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,yards_from_scrimmage_prev_game,numeric,350,0,0.0,PASS
predictor,yards_from_scrimmage_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,total_offensive_tds_prev_game,numeric,350,0,0.0,PASS
predictor,total_offensive_tds_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,target_share_prev_game,numeric,350,0,0.0,PASS
predictor,target_share_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,target_share_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,target_share_season_to_date,numeric,350,0,5.551115123125783e-17,PASS
predictor,air_yards_share_prev_game,numeric,350,0,0.0,PASS
predictor,air_yards_share_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,air_yards_share_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,wopr_prev_game,numeric,350,0,0.0,PASS
predictor,wopr_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,wopr_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,has_previous_snap_record,numeric,350,0,0.0,PASS
predictor,snap_records_last_3_games,numeric,350,0,0.0,PASS
predictor,snap_records_last_5_games,numeric,350,0,0.0,PASS
predictor,offense_snaps_prev_game,numeric,350,0,0.0,PASS
predictor,offense_snaps_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,offense_snaps_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,offense_pct_prev_game,numeric,350,0,0.0,PASS
predictor,offense_pct_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,offense_pct_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,completion_pct_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,passing_yards_per_attempt_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,rushing_yards_per_carry_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,receiving_yards_per_target_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,receiving_yards_per_reception_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,fantasy_points_per_opportunity_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,total_yards_per_opportunity_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,opponent_prior_position_games,numeric,350,0,0.0,PASS
predictor,opponent_prior_position_games_current_season,numeric,350,0,0.0,PASS
predictor,has_opponent_history,numeric,350,0,0.0,PASS
predictor,opp_ppr_allowed_prev_game,numeric,350,0,0.0,PASS
predictor,opp_ppr_allowed_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,opp_ppr_allowed_avg_last_5_games,numeric,350,0,0.0,PASS
predictor,opp_ppr_allowed_season_to_date,numeric,350,0,7.105427357601002e-15,PASS
predictor,opp_opportunities_allowed_prev_game,numeric,350,0,0.0,PASS
predictor,opp_opportunities_allowed_avg_last_3_games,numeric,350,0,0.0,PASS
predictor,opp_opportunities_allowed_season_to_date,numeric,350,0,0.0,PASS
predictor,opp_passing_yards_allowed_season_to_date,numeric,350,0,0.0,PASS
predictor,opp_rushing_yards_allowed_season_to_date,numeric,350,0,0.0,PASS
predictor,opp_receiving_yards_allowed_season_to_date,numeric,350,0,0.0,PASS
predictor,opp_offensive_tds_allowed_season_to_date,numeric,350,0,0.0,PASS
overall,ALL,mixed,350,0,7.105427357601002e-15,PASS
