evaluation_split,position,candidate_model,baseline_model,row_count,candidate_mae,baseline_mae,mae_improvement,mae_improvement_pct,candidate_rmse,baseline_rmse,rmse_improvement,candidate_spearman,baseline_spearman,spearman_difference,candidate_top_n_overlap_pct,baseline_top_n_overlap_pct,top_n_overlap_difference_pct,passes_mae_requirement,passes_spearman_guardrail,passes_top_n_guardrail,eligible_for_selection,selected_model_for_position,is_selected_for_position
validation,QB,ridge,rolling_5_game,664,6.1685,6.556,0.3875,5.9109,7.8552,8.3133,0.458,0.5324,0.4695,0.0629,55.5556,53.7037,1.8519,True,True,True,True,hist_gradient_boosting,False
validation,QB,random_forest,rolling_5_game,664,6.0316,6.556,0.5245,7.9998,7.574,8.3133,0.7392,0.5457,0.4695,0.0762,51.3889,53.7037,-2.3148,True,True,False,False,hist_gradient_boosting,False
validation,QB,hist_gradient_boosting,rolling_5_game,664,6.1046,6.556,0.4514,6.8851,7.6871,8.3133,0.6262,0.5353,0.4695,0.0658,52.3148,53.7037,-1.3889,True,True,True,True,hist_gradient_boosting,True
validation,RB,ridge,rolling_5_game,1536,4.4333,4.5618,0.1285,2.8179,6.0444,6.2852,0.2407,0.708,0.6797,0.0283,63.8889,62.7315,1.1574,True,True,True,True,random_forest,False
validation,RB,random_forest,rolling_5_game,1536,4.3717,4.5618,0.1902,4.1683,5.9483,6.2852,0.3368,0.7181,0.6797,0.0383,65.0463,62.7315,2.3148,True,True,True,True,random_forest,True
validation,RB,hist_gradient_boosting,rolling_5_game,1536,4.4091,4.5618,0.1528,3.3491,6.0534,6.2852,0.2317,0.7044,0.6797,0.0247,63.8889,62.7315,1.1574,True,True,True,True,random_forest,False
validation,WR,ridge,rolling_5_game,2441,4.5586,4.7521,0.1935,4.0721,6.3199,6.6369,0.317,0.6529,0.6173,0.0356,46.7593,45.3704,1.3889,True,True,True,True,ridge,True
validation,WR,random_forest,rolling_5_game,2441,4.6519,4.7521,0.1002,2.1088,6.3009,6.6369,0.336,0.6611,0.6173,0.0438,46.2963,45.3704,0.9259,True,True,True,True,ridge,False
validation,WR,hist_gradient_boosting,rolling_5_game,2441,4.6843,4.7521,0.0679,1.4281,6.427,6.6369,0.2099,0.6485,0.6173,0.0312,45.1389,45.3704,-0.2315,True,True,True,True,ridge,False
validation,TE,ridge,rolling_5_game,1223,3.4713,3.6722,0.2009,5.4699,4.7551,5.0374,0.2822,0.6159,0.5605,0.0554,51.3889,50.0,1.3889,True,True,True,True,ridge,True
validation,TE,random_forest,rolling_5_game,1223,3.6101,3.6722,0.0621,1.6903,4.8199,5.0374,0.2175,0.6058,0.5605,0.0452,49.537,50.0,-0.463,True,True,True,True,ridge,False
validation,TE,hist_gradient_boosting,rolling_5_game,1223,3.5982,3.6722,0.0739,2.0135,4.8744,5.0374,0.1629,0.5931,0.5605,0.0326,47.6852,50.0,-2.3148,True,True,False,False,ridge,False
