season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,projected_fantasy_points_ppr,display_projected_fantasy_points_ppr,raw_position_rank,position_rank,overall_flex_rank,remaining_flex_rank,projected_lineup_slot,lineup_tier,role_eligible,depth_position_matches_model_position,depth_position,depth_slot,depth_rank,evidence_confidence,prior_games_count,prior_games_current_season,days_since_previous_game,fantasy_points_ppr_avg_last_5_games,opportunities_avg_last_5_games,offense_pct_avg_last_5_games,injury_context,risk_flags,recommendation_reason,source_as_of_utc,projection_created_at_utc,projection_source_model,model_bundle_version,ranking_version
2026,1,2026_01_BUF_HOU,2026-09-13,00-0034857,Josh Allen,QB,BUF,HOU,22.134834690535694,22.134834690535694,1,1,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,126,0,259.0,21.832,35.0,1.0,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 22.13 PPR; QB raw rank 1; depth slot 9, rank 1; 126 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_SF_LA,2026-09-10,00-0026498,Matthew Stafford,QB,LA,SF,20.4359855763506,20.4359855763506,2,2,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,114,0,249.0,22.891999999999996,40.0,0.958,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 20.44 PPR; QB raw rank 2; depth slot 9, rank 1; 114 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_ATL_PIT,2026-09-13,00-0023459,Aaron Rodgers,QB,PIT,ATL,19.93503160365564,19.93503160365564,3,3,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,115,0,252.0,15.807999999999998,38.8,1.0,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 19.94 PPR; QB raw rank 3; depth slot 9, rank 1; 115 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_NO_DET,2026-09-13,00-0033106,Jared Goff,QB,DET,NO,19.798271471711452,19.798271471711452,4,4,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,129,0,252.0,17.092000000000002,41.2,1.0,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 19.80 PPR; QB raw rank 4; depth slot 9, rank 1; 129 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_ARI_LAC,2026-09-13,00-0036355,Justin Herbert,QB,LAC,ARI,18.934224372784207,18.934224372784207,5,5,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,95,0,260.0,16.148,33.0,0.97,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 18.93 PPR; QB raw rank 5; depth slot 9, rank 1; 95 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_MIA_LV,2026-09-13,00-0029604,Kirk Cousins,QB,LV,MIA,18.799238259341106,18.799238259341106,6,6,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,112,0,252.0,13.064000000000002,34.0,1.0,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 18.80 PPR; QB raw rank 6; depth slot 9, rank 1; 112 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_TB_CIN,2026-09-13,00-0034855,Baker Mayfield,QB,TB,CIN,18.699367611833683,18.699367611833683,7,7,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,123,0,253.0,14.724,34.8,1.0,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 18.70 PPR; QB raw rank 7; depth slot 9, rank 1; 123 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_TB_CIN,2026-09-13,00-0036442,Joe Burrow,QB,CIN,TB,18.196151163924945,18.196151163924945,8,8,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,77,0,252.0,19.872,37.2,0.944,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 18.20 PPR; QB raw rank 8; depth slot 9, rank 1; 77 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_NO_DET,2026-09-13,00-0040743,Tyler Shough,QB,NO,DET,17.472784650076004,17.472784650076004,9,9,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,11,0,252.0,20.028000000000002,37.4,0.9879999999999999,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 17.47 PPR; QB raw rank 9; depth slot 9, rank 1; 11 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
2026,1,2026_01_CLE_JAX,2026-09-13,00-0036971,Trevor Lawrence,QB,JAX,CLE,17.464890880353945,17.464890880353945,10,10,,,QB,PROVISIONAL_STARTER,True,True,QB,9,1,HIGH,77,0,252.0,28.248,38.0,0.9200000000000002,SOURCE_UNAVAILABLE_FOR_2026_AT_BUILD,INJURY_CONTEXT_UNAVAILABLE,"Raw 17.46 PPR; QB raw rank 10; depth slot 9, rank 1; 77 prior games; injury context unavailable.",2026-08-22T07:46:47.668866+00:00,2026-08-22T07:49:49.992921+00:00,hist_gradient_boosting,v1_evaluated_2025,v1_weekly_rankings
